Date	2020年11月24日火曜日 03時53分29秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.564366
200.422	0.552992
200.796	0.542027
201.171	0.549259
201.546	0.546346
201.921	0.554889
202.296	0.563152
202.671	0.573305
203.045	0.578146
203.420	0.582792
203.795	0.601539
204.170	0.568412
204.544	0.575947
204.919	0.596712
205.294	0.616576
205.668	0.638181
206.043	0.615869
206.417	0.626127
206.792	0.635948
207.166	0.643924
207.541	0.690638
207.915	0.709580
208.289	0.731049
208.664	0.715718
209.038	0.736071
209.412	0.683309
209.787	0.672710
210.161	0.663910
210.535	0.646796
210.909	0.639025
211.284	0.598234
211.658	0.583582
212.032	0.594582
212.406	0.585409
212.780	0.616043
213.154	0.626295
213.528	0.598879
213.902	0.558024
214.276	0.585725
214.650	0.572905
215.024	0.568470
215.398	0.579069
215.772	0.604685
216.145	0.584249
216.519	0.554906
216.893	0.524358
217.267	0.478661
217.640	0.496215
218.014	0.524497
218.388	0.511899
218.761	0.502070
219.135	0.496324
219.508	0.540801
219.882	0.521682
220.256	0.552920
220.629	0.594872
221.003	0.613446
221.376	0.642082
221.749	0.664904
222.123	0.689059
222.496	0.686727
222.869	0.684688
223.243	0.715801
223.616	0.697257
223.989	0.685945
224.362	0.633125
224.736	0.634172
225.109	0.634849
225.482	0.620442
225.855	0.622263
226.228	0.598019
226.601	0.617687
226.974	0.644231
227.347	0.608438
227.720	0.587761
228.093	0.602131
228.466	0.619469
228.839	0.608813
229.212	0.631466
229.585	0.642607
229.957	0.632814
230.330	0.633356
230.703	0.590884
231.076	0.610056
231.448	0.657075
231.821	0.672609
232.194	0.643942
232.566	0.629047
232.939	0.640831
233.311	0.618943
233.684	0.607983
234.056	0.608428
234.429	0.604807
234.801	0.633316
235.174	0.618928
235.546	0.583243
235.918	0.581256
236.291	0.598398
236.663	0.576942
237.035	0.570734
237.408	0.577161
237.780	0.577102
238.152	0.560869
