Date	2020年11月24日火曜日 04時39分07秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.951712
200.422	0.684217
200.796	0.636917
201.171	0.652680
201.546	0.685264
201.921	0.673702
202.296	0.767735
202.671	0.777815
203.045	0.734959
203.420	0.795575
203.795	0.783186
204.170	0.808464
204.544	0.793633
204.919	0.743966
205.294	0.765164
205.668	0.717649
206.043	0.743114
206.417	0.789168
206.792	0.711501
207.166	0.689361
207.541	0.676138
207.915	0.705260
208.289	0.685795
208.664	0.709588
209.038	0.700326
209.412	0.681411
209.787	0.762220
210.161	0.742888
210.535	0.675306
210.909	0.709463
211.284	0.683737
211.658	0.655607
212.032	0.629119
212.406	0.626789
212.780	0.657182
213.154	0.723949
213.528	0.754121
213.902	0.648333
214.276	0.609260
214.650	0.647197
215.024	0.691659
215.398	0.759149
215.772	0.755901
216.145	0.776007
216.519	0.780280
216.893	0.752140
217.267	0.784695
217.640	0.789573
218.014	0.853799
218.388	0.858524
218.761	0.800032
219.135	0.812419
219.508	0.798324
219.882	0.919060
220.256	0.892211
220.629	0.965272
221.003	1.011546
221.376	0.906274
221.749	1.094829
222.123	1.000612
222.496	1.054718
222.869	1.189800
223.243	1.065970
223.616	1.156838
223.989	0.965834
224.362	0.980775
224.736	0.881242
225.109	0.760864
225.482	0.726936
225.855	0.606082
226.228	0.651477
226.601	0.656304
226.974	0.698180
227.347	0.742106
227.720	0.703250
228.093	0.720098
228.466	0.728075
228.839	0.818538
229.212	0.883907
229.585	0.896567
229.957	0.944110
230.330	0.915214
230.703	0.936117
231.076	0.829508
231.448	0.780901
231.821	0.799570
232.194	0.857892
232.566	0.856257
232.939	0.814844
233.311	0.820521
233.684	0.927640
234.056	0.944457
234.429	0.985205
234.801	0.912866
235.174	0.864712
235.546	0.884829
235.918	0.887173
236.291	0.862658
236.663	0.778082
237.035	0.722207
237.408	0.748146
237.780	0.702660
238.152	0.702952
