2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/15 10:52

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  3176.00000
    108.66,        ____,  3175.60000
    109.15,        ____,  3190.50000
    109.65,        ____,  3216.60000
    110.14,        ____,  3232.60000
    110.63,        ____,  3221.30000
    111.13,        ____,  3227.20000
    111.62,        ____,  3195.00000
    112.11,        ____,  3199.00000
    112.60,        ____,  3216.90000
    113.10,        ____,  3200.70000
    113.59,        ____,  3211.10000
    114.08,        ____,  3222.80000
    114.58,        ____,  3205.80000
    115.07,        ____,  3242.50000
    115.56,        ____,  3258.60000
    116.06,        ____,  3252.40000
    116.55,        ____,  3265.80000
    117.04,        ____,  3254.90000
    117.53,        ____,  3233.40000
    118.03,        ____,  3253.40000
    118.52,        ____,  3253.80000
    119.01,        ____,  3248.50000
    119.51,        ____,  3343.90000
    120.00,        ____,  3443.50000
    120.49,        ____,  3487.40000
    120.98,        ____,  3489.90000
    121.48,        ____,  3417.20000
    121.97,        ____,  3321.00000
    122.46,        ____,  3317.00000
    122.95,        ____,  3353.30000
    123.45,        ____,  3392.20000
    123.94,        ____,  3408.30000
    124.43,        ____,  3431.40000
    124.92,        ____,  3472.50000
    125.42,        ____,  3477.80000
    125.91,        ____,  3501.00000
    126.40,        ____,  3499.70000
    126.89,        ____,  3488.40000
    127.39,        ____,  3487.10000
    127.88,        ____,  3490.30000
    128.37,        ____,  3499.60000
    128.86,        ____,  3526.10000
    129.35,        ____,  3534.90000
    129.85,        ____,  3551.30000
    130.34,        ____,  3557.60000
    130.83,        ____,  3571.10000
    131.32,        ____,  3589.60000
    131.81,        ____,  3601.20000
    132.31,        ____,  3607.30000
    132.80,        ____,  3605.50000
    133.29,        ____,  3597.80000
    133.78,        ____,  3617.60000
    134.27,        ____,  3638.30000
    134.77,        ____,  3654.00000
    135.26,        ____,  3677.40000
    135.75,        ____,  3674.20000
    136.24,        ____,  3704.60000
    136.73,        ____,  3696.30000
    137.23,        ____,  3722.50000
    137.72,        ____,  3730.90000
    138.21,        ____,  3732.70000
    138.70,        ____,  3729.50000
    139.19,        ____,  3785.40000
    139.68,        ____,  3775.00000
    140.18,        ____,  3796.60000
    140.67,        ____,  3815.00000
    141.16,        ____,  3815.80000
    141.65,        ____,  3817.20000
    142.14,        ____,  3833.30000
    142.63,        ____,  3854.00000
    143.13,        ____,  3864.10000
    143.62,        ____,  3905.00000
    144.11,        ____,  3911.40000
    144.60,        ____,  3894.80000
    145.09,        ____,  3892.30000
    145.58,        ____,  3959.90000
    146.07,        ____,  3989.90000
    146.56,        ____,  4023.70000
    147.06,        ____,  4031.60000
    147.55,        ____,  4012.10000
    148.04,        ____,  3973.30000
    148.53,        ____,  4020.30000
    149.02,        ____,  4008.60000
    149.51,        ____,  4102.30000
    150.00,        ____,  4176.80000
    150.49,        ____,  4216.90000
    150.99,        ____,  4232.10000
    151.48,        ____,  4232.30000
    151.97,        ____,  4173.80000
    152.46,        ____,  4203.50000
    152.95,        ____,  4215.50000
    153.44,        ____,  4247.30000
    153.93,        ____,  4298.20000
    154.42,        ____,  4350.00000
    154.91,        ____,  4361.80000
    155.40,        ____,  4369.40000
    155.89,        ____,  4377.80000
    156.39,        ____,  4416.60000
    156.88,        ____,  4412.10000
    157.37,        ____,  4442.80000
    157.86,        ____,  4471.90000
    158.35,        ____,  4489.60000
    158.84,        ____,  4520.70000
    159.33,        ____,  4586.80000
    159.82,        ____,  4601.80000
    160.31,        ____,  4642.30000
    160.80,        ____,  4708.50000
    161.29,        ____,  4681.80000
    161.78,        ____,  4680.40000
    162.27,        ____,  4684.60000
    162.76,        ____,  4705.90000
    163.25,        ____,  4751.10000
    163.74,        ____,  4806.00000
    164.23,        ____,  4814.80000
    164.72,        ____,  4846.50000
    165.21,        ____,  4829.10000
    165.70,        ____,  4821.20000
    166.20,        ____,  4876.90000
    166.69,        ____,  4920.90000
    167.18,        ____,  4951.30000
    167.67,        ____,  4964.90000
    168.16,        ____,  4954.90000
    168.65,        ____,  4918.20000
    169.14,        ____,  4958.40000
    169.63,        ____,  4976.10000
    170.12,        ____,  4979.10000
    170.61,        ____,  4970.90000
    171.10,        ____,  5032.00000
    171.59,        ____,  5012.40000
    172.08,        ____,  4998.60000
    172.57,        ____,  4981.00000
    173.06,        ____,  4964.70000
    173.55,        ____,  4939.60000
    174.04,        ____,  4925.60000
    174.53,        ____,  4908.60000
    175.02,        ____,  4900.00000
    175.50,        ____,  4929.90000
    175.99,        ____,  4970.00000
    176.48,        ____,  4997.80000
    176.97,        ____,  4979.60000
    177.46,        ____,  4987.90000
    177.95,        ____,  4954.80000
    178.44,        ____,  4938.10000
    178.93,        ____,  4922.80000
    179.42,        ____,  4925.70000
    179.91,        ____,  4927.30000
    180.40,        ____,  4935.20000
    180.89,        ____,  4927.80000
    181.38,        ____,  4909.00000
    181.87,        ____,  4910.20000
    182.36,        ____,  4906.00000
    182.85,        ____,  4877.30000
    183.34,        ____,  4911.30000
    183.83,        ____,  4923.20000
    184.32,        ____,  4918.90000
    184.81,        ____,  4978.50000
    185.29,        ____,  4987.70000
    185.78,        ____,  4952.10000
    186.27,        ____,  4955.30000
    186.76,        ____,  4932.70000
    187.25,        ____,  4899.30000
    187.74,        ____,  4970.40000
    188.23,        ____,  4995.70000
    188.72,        ____,  5004.60000
    189.21,        ____,  4981.60000
    189.70,        ____,  4952.80000
    190.19,        ____,  4915.00000
    190.67,        ____,  4905.20000
    191.16,        ____,  4898.80000
    191.65,        ____,  4894.80000
    192.14,        ____,  4888.00000
    192.63,        ____,  4925.30000
    193.12,        ____,  4950.80000
    193.61,        ____,  4942.90000
    194.10,        ____,  4957.50000
    194.59,        ____,  4945.30000
    195.07,        ____,  4955.80000
    195.56,        ____,  4982.40000
    196.05,        ____,  4986.30000
    196.54,        ____,  4983.40000
    197.03,        ____,  5001.30000
    197.52,        ____,  5036.20000
    198.01,        ____,  5045.30000
    198.49,        ____,  5037.90000
    198.98,        ____,  5036.80000
    199.47,        ____,  5005.20000
    199.96,        ____,  4993.80000
    200.45,        ____,  5020.40000
    200.94,        ____,  5007.20000
    201.43,        ____,  5006.50000
    201.91,        ____,  4994.50000
    202.40,        ____,  4980.50000
    202.89,        ____,  4977.00000
    203.38,        ____,  5006.20000
    203.87,        ____,  5011.20000
    204.36,        ____,  5003.00000
    204.84,        ____,  4998.80000
    205.33,        ____,  5013.80000
    205.82,        ____,  5032.00000
    206.31,        ____,  5044.90000
    206.80,        ____,  5054.30000
    207.28,        ____,  5074.90000
    207.77,        ____,  5099.80000
    208.26,        ____,  5116.50000
    208.75,        ____,  5129.80000
    209.24,        ____,  5113.70000
    209.72,        ____,  5144.40000
    210.21,        ____,  5169.90000
    210.70,        ____,  5167.10000
    211.19,        ____,  5199.70000
    211.68,        ____,  5239.60000
    212.16,        ____,  5266.20000
    212.65,        ____,  5308.20000
    213.14,        ____,  5313.30000
    213.63,        ____,  5319.00000
    214.12,        ____,  5318.40000
    214.60,        ____,  5361.20000
    215.09,        ____,  5416.00000
    215.58,        ____,  5452.80000
    216.07,        ____,  5485.70000
    216.55,        ____,  5535.00000
    217.04,        ____,  5519.10000
    217.53,        ____,  5555.20000
    218.02,        ____,  5603.80000
    218.50,        ____,  5657.40000
    218.99,        ____,  5728.30000
    219.48,        ____,  5814.70000
    219.97,        ____,  5839.90000
    220.45,        ____,  5907.00000
    220.94,        ____,  5965.70000
    221.43,        ____,  6047.40000
    221.92,        ____,  6134.80000
    222.40,        ____,  6193.50000
    222.89,        ____,  6245.00000
    223.38,        ____,  6315.10000
    223.86,        ____,  6383.50000
    224.35,        ____,  6451.40000
    224.84,        ____,  6487.80000
    225.33,        ____,  6496.40000
    225.81,        ____,  6491.70000
    226.30,        ____,  6491.50000
    226.79,        ____,  6518.10000
    227.27,        ____,  6516.60000
    227.76,        ____,  6521.30000
    228.25,        ____,  6529.00000
    228.74,        ____,  6511.10000
    229.22,        ____,  6503.60000
    229.71,        ____,  6463.30000
    230.20,        ____,  6395.90000
    230.68,        ____,  6338.40000
    231.17,        ____,  6271.60000
    231.66,        ____,  6186.30000
    232.14,        ____,  6117.80000
    232.63,        ____,  6039.00000
    233.12,        ____,  5992.00000
    233.60,        ____,  5950.30000
    234.09,        ____,  5871.40000
    234.58,        ____,  5792.40000
    235.06,        ____,  5724.30000
    235.55,        ____,  5659.80000
    236.04,        ____,  5601.20000
    236.52,        ____,  5578.70000
    237.01,        ____,  5526.10000
    237.50,        ____,  5519.10000
    237.98,        ____,  5462.20000
    238.47,        ____,  5471.20000
    238.96,        ____,  5436.40000
    239.44,        ____,  5402.10000
    239.93,        ____,  5377.80000
    240.41,        ____,  5316.20000
    240.90,        ____,  5230.70000
    241.39,        ____,  5239.00000
    241.87,        ____,  5257.50000
    242.36,        ____,  5268.40000
    242.85,        ____,  5292.10000
    243.33,        ____,  5264.90000
    243.82,        ____,  5213.40000
    244.30,        ____,  5174.80000
    244.79,        ____,  5169.50000
    245.28,        ____,  5156.00000
    245.76,        ____,  5148.50000
    246.25,        ____,  5124.80000
    246.74,        ____,  5129.00000
    247.22,        ____,  5150.40000
    247.71,        ____,  5140.40000
    248.19,        ____,  5125.20000
    248.68,        ____,  5125.80000
    249.16,        ____,  5088.00000
    249.65,        ____,  5122.60000
    250.14,        ____,  5134.60000
    250.62,        ____,  5106.00000
    251.11,        ____,  5075.50000
    251.59,        ____,  5053.00000
    252.08,        ____,  5037.70000
    252.57,        ____,  5057.40000
    253.05,        ____,  5065.50000
    253.54,        ____,  5102.70000
    254.02,        ____,  5125.90000
    254.51,        ____,  5123.10000
    254.99,        ____,  5123.20000
    255.48,        ____,  5105.80000
    255.96,        ____,  5077.00000
    256.45,        ____,  5094.40000
    256.94,        ____,  5101.60000
    257.42,        ____,  5092.80000
    257.91,        ____,  5105.90000
    258.39,        ____,  5123.10000
    258.88,        ____,  5108.60000
    259.36,        ____,  5118.60000
    259.85,        ____,  5114.80000
    260.33,        ____,  5126.50000
    260.82,        ____,  5149.80000
    261.30,        ____,  5181.10000
    261.79,        ____,  5170.30000
    262.27,        ____,  5169.80000
    262.76,        ____,  5157.60000
    263.24,        ____,  5164.30000
    263.73,        ____,  5188.50000
    264.22,        ____,  5231.70000
    264.70,        ____,  5234.10000
    265.19,        ____,  5236.30000
    265.67,        ____,  5239.80000
    266.16,        ____,  5234.60000
    266.64,        ____,  5260.50000
    267.13,        ____,  5278.90000
    267.61,        ____,  5263.00000
    268.10,        ____,  5297.00000
    268.58,        ____,  5322.00000
    269.06,        ____,  5344.60000
    269.55,        ____,  5386.70000
    270.03,        ____,  5416.30000
    270.52,        ____,  5437.30000
    271.00,        ____,  5464.00000
    271.49,        ____,  5469.70000
    271.97,        ____,  5489.90000
    272.46,        ____,  5516.30000
    272.94,        ____,  5545.10000
    273.43,        ____,  5563.30000
    273.91,        ____,  5556.80000
    274.40,        ____,  5572.70000
    274.88,        ____,  5595.40000
    275.37,        ____,  5622.10000
    275.85,        ____,  5655.80000
    276.33,        ____,  5681.10000
    276.82,        ____,  5719.90000
    277.30,        ____,  5761.10000
    277.79,        ____,  5781.20000
    278.27,        ____,  5813.20000
    278.76,        ____,  5856.80000
    279.24,        ____,  5885.40000
    279.73,        ____,  5917.90000
    280.21,        ____,  5935.50000
    280.69,        ____,  5918.80000
    281.18,        ____,  5939.60000
    281.66,        ____,  5978.40000
    282.15,        ____,  6030.00000
    282.63,        ____,  6047.30000
    283.11,        ____,  6058.70000
    283.60,        ____,  6057.70000
    284.08,        ____,  6076.60000
    284.57,        ____,  6072.50000
    285.05,        ____,  6077.90000
    285.53,        ____,  6055.60000
    286.02,        ____,  6033.30000
    286.50,        ____,  6050.20000
    286.99,        ____,  6059.30000
    287.47,        ____,  6048.40000
    287.95,        ____,  6044.50000
    288.44,        ____,  6035.00000
    288.92,        ____,  6023.80000
    289.41,        ____,  6027.40000
    289.89,        ____,  6030.50000
    290.37,        ____,  6020.90000
    290.86,        ____,  6036.40000
    291.34,        ____,  5986.70000
    291.82,        ____,  5949.10000
    292.31,        ____,  5905.00000
    292.79,        ____,  5895.60000
    293.28,        ____,  5873.30000
    293.76,        ____,  5858.50000
    294.24,        ____,  5826.80000
    294.73,        ____,  5826.70000
    295.21,        ____,  5814.50000
    295.69,        ____,  5807.00000
    296.18,        ____,  5752.10000
    296.66,        ____,  5675.40000
    297.14,        ____,  5637.60000
    297.63,        ____,  5626.20000
    298.11,        ____,  5620.10000
    298.59,        ____,  5614.20000
    299.08,        ____,  5584.90000
    299.56,        ____,  5539.70000
    300.04,        ____,  5533.00000
    300.53,        ____,  5510.90000
    301.01,        ____,  5487.60000
    301.49,        ____,  5446.40000
    301.98,        ____,  5381.50000
    302.46,        ____,  5308.30000
    302.94,        ____,  5282.30000
    303.42,        ____,  5255.10000
    303.91,        ____,  5227.30000
    304.39,        ____,  5196.00000
    304.87,        ____,  5166.50000
    305.36,        ____,  5158.30000
    305.84,        ____,  5166.20000
    306.32,        ____,  5176.70000
    306.81,        ____,  5132.30000
    307.29,        ____,  5077.40000
    307.77,        ____,  5032.10000
    308.25,        ____,  5014.50000
    308.74,        ____,  5011.20000
    309.22,        ____,  4988.80000
    309.70,        ____,  4949.90000
    310.18,        ____,  4916.90000
    310.67,        ____,  4905.60000
    311.15,        ____,  4900.30000
    311.63,        ____,  4899.30000
    312.12,        ____,  4882.60000
    312.60,        ____,  4833.30000
    313.08,        ____,  4792.40000
    313.56,        ____,  4768.00000
    314.05,        ____,  4754.60000
    314.53,        ____,  4767.20000
    315.01,        ____,  4812.10000
    315.49,        ____,  4796.00000
    315.98,        ____,  4785.60000
    316.46,        ____,  4748.70000
    316.94,        ____,  4693.40000
    317.42,        ____,  4669.50000
    317.90,        ____,  4660.80000
    318.39,        ____,  4629.70000
    318.87,        ____,  4658.70000
    319.35,        ____,  4678.20000
    319.83,        ____,  4687.50000
    320.32,        ____,  4700.20000
    320.80,        ____,  4702.50000
    321.28,        ____,  4650.40000
    321.76,        ____,  4665.90000
    322.24,        ____,  4654.60000
    322.73,        ____,  4664.20000
    323.21,        ____,  4662.90000
    323.69,        ____,  4660.40000
    324.17,        ____,  4601.00000
    324.65,        ____,  4562.80000
    325.14,        ____,  4560.20000
    325.62,        ____,  4571.70000
    326.10,        ____,  4625.30000
    326.58,        ____,  4631.70000
    327.06,        ____,  4581.90000
    327.55,        ____,  4581.90000
    328.03,        ____,  4606.30000
    328.51,        ____,  4613.20000
    328.99,        ____,  4622.80000
    329.47,        ____,  4603.60000
    329.95,        ____,  4532.70000
    330.44,        ____,  4541.50000
    330.92,        ____,  4518.70000
    331.40,        ____,  4503.00000
    331.88,        ____,  4483.90000
    332.36,        ____,  4494.10000
    332.84,        ____,  4520.20000
    333.33,        ____,  4513.30000
    333.81,        ____,  4629.20000
    334.29,        ____,  4704.40000
    334.77,        ____,  4724.20000
    335.25,        ____,  4684.50000
    335.73,        ____,  4626.10000
    336.21,        ____,  4498.20000
    336.69,        ____,  4518.70000
    337.18,        ____,  4497.00000
    337.66,        ____,  4469.70000
    338.14,        ____,  4448.40000
    338.62,        ____,  4447.40000
    339.10,        ____,  4482.80000
    339.58,        ____,  4525.50000
    340.06,        ____,  4521.10000
    340.54,        ____,  4515.80000
    341.03,        ____,  4497.80000
    341.51,        ____,  4473.20000
    341.99,        ____,  4480.40000
    342.47,        ____,  4493.60000
    342.95,        ____,  4480.80000
    343.43,        ____,  4485.90000
    343.91,        ____,  4486.30000
    344.39,        ____,  4470.30000
    344.87,        ____,  4445.90000
    345.35,        ____,  4454.70000
    345.84,        ____,  4463.40000
    346.32,        ____,  4508.70000
    346.80,        ____,  4523.30000
    347.28,        ____,  4524.50000
    347.76,        ____,  4495.70000
    348.24,        ____,  4486.40000
    348.72,        ____,  4510.50000
    349.20,        ____,  4530.20000
    349.68,        ____,  4513.40000
    350.16,        ____,  4485.40000
    350.64,        ____,  4443.40000
    351.12,        ____,  4427.70000
    351.60,        ____,  4488.00000
    352.08,        ____,  4530.40000
    352.56,        ____,  4545.70000
    353.04,        ____,  4545.10000
    353.53,        ____,  4527.00000
    354.01,        ____,  4514.60000
    354.49,        ____,  4532.20000
    354.97,        ____,  4527.70000
    355.45,        ____,  4516.50000
    355.93,        ____,  4497.30000
    356.41,        ____,  4512.90000
    356.89,        ____,  4502.70000
    357.37,        ____,  4510.40000
    357.85,        ____,  4483.70000
    358.33,        ____,  4472.50000
    358.81,        ____,  4441.80000
    359.29,        ____,  4454.80000
    359.77,        ____,  4478.00000
    360.25,        ____,  4507.80000
    360.73,        ____,  4514.90000
    361.21,        ____,  4510.10000
    361.69,        ____,  4512.40000
    362.17,        ____,  4514.10000
    362.65,        ____,  4529.50000
    363.13,        ____,  4533.20000
    363.61,        ____,  4552.90000
    364.09,        ____,  4527.10000
    364.57,        ____,  4531.20000
    365.05,        ____,  4537.00000
    365.53,        ____,  4520.70000
    366.01,        ____,  4530.40000
    366.49,        ____,  4571.20000
    366.97,        ____,  4532.00000
    367.45,        ____,  4550.60000
    367.93,        ____,  4591.70000
    368.41,        ____,  4583.30000
    368.89,        ____,  4585.30000
    369.37,        ____,  4597.20000
    369.85,        ____,  4549.30000
    370.33,        ____,  4568.30000
    370.80,        ____,  4593.10000
    371.28,        ____,  4596.90000
    371.76,        ____,  4580.10000
    372.24,        ____,  4579.00000
    372.72,        ____,  4586.80000
    373.20,        ____,  4604.10000
    373.68,        ____,  4634.40000
    374.16,        ____,  4663.30000
    374.64,        ____,  4654.50000
    375.12,        ____,  4633.50000
    375.60,        ____,  4679.90000
    376.08,        ____,  4660.30000
    376.56,        ____,  4665.70000
    377.04,        ____,  4662.40000
    377.52,        ____,  4666.30000
    377.99,        ____,  4654.30000
    378.47,        ____,  4697.30000
    378.95,        ____,  4684.20000
    379.43,        ____,  4715.10000
    379.91,        ____,  4716.90000
    380.39,        ____,  4765.90000
    380.87,        ____,  4790.10000
    381.35,        ____,  4793.10000
    381.83,        ____,  4771.10000
    382.31,        ____,  4750.40000
    382.79,        ____,  4708.60000
    383.26,        ____,  4725.00000
    383.74,        ____,  4730.70000
    384.22,        ____,  4732.80000
    384.70,        ____,  4747.00000
    385.18,        ____,  4733.90000
    385.66,        ____,  4738.90000
    386.14,        ____,  4761.70000
    386.62,        ____,  4779.30000
    387.09,        ____,  4802.40000
    387.57,        ____,  4820.70000
    388.05,        ____,  4822.60000
    388.53,        ____,  4817.20000
    389.01,        ____,  4832.00000
    389.49,        ____,  4848.20000
    389.97,        ____,  4851.30000
    390.44,        ____,  4839.40000
    390.92,        ____,  4826.50000
    391.40,        ____,  4811.70000
    391.88,        ____,  4812.70000
    392.36,        ____,  4819.60000
    392.84,        ____,  4834.40000
    393.32,        ____,  4849.60000
    393.79,        ____,  4850.60000
    394.27,        ____,  4912.30000
    394.75,        ____,  4908.40000
    395.23,        ____,  4899.70000
    395.71,        ____,  4892.90000
    396.18,        ____,  4886.00000
    396.66,        ____,  4890.20000
    397.14,        ____,  4922.60000
    397.62,        ____,  4884.20000
    398.10,        ____,  4883.80000
    398.58,        ____,  4875.60000
    399.05,        ____,  4881.20000
    399.53,        ____,  4886.50000
    400.01,        ____,  4880.00000
    400.49,        ____,  4850.00000
    400.97,        ____,  4834.90000
    401.44,        ____,  4798.00000
    401.92,        ____,  4824.00000
    402.40,        ____,  4814.50000
    402.88,        ____,  4836.60000
    403.36,        ____,  4836.50000
    403.83,        ____,  4843.30000
    404.31,        ____,  4802.60000
    404.79,        ____,  4821.80000
    405.27,        ____,  4786.60000
    405.74,        ____,  4769.80000
    406.22,        ____,  4783.60000
    406.70,        ____,  4796.20000
    407.18,        ____,  4768.30000
    407.65,        ____,  4755.90000
    408.13,        ____,  4710.20000
    408.61,        ____,  4703.70000
    409.09,        ____,  4715.70000
    409.56,        ____,  4714.70000
    410.04,        ____,  4722.70000
    410.52,        ____,  4711.50000
    411.00,        ____,  4667.00000
    411.47,        ____,  4643.90000
    411.95,        ____,  4614.60000
    412.43,        ____,  4614.60000
    412.91,        ____,  4623.20000
    413.38,        ____,  4641.70000
    413.86,        ____,  4650.60000
    414.34,        ____,  4644.40000
    414.82,        ____,  4627.00000
    415.29,        ____,  4610.10000
    415.77,        ____,  4598.50000
    416.25,        ____,  4589.70000
    416.72,        ____,  4583.80000
    417.20,        ____,  4578.40000
    417.68,        ____,  4533.50000
    418.16,        ____,  4515.40000
    418.63,        ____,  4526.80000
    419.11,        ____,  4522.90000
    419.59,        ____,  4524.00000
    420.06,        ____,  4496.20000
    420.54,        ____,  4453.30000
    421.02,        ____,  4464.20000
    421.50,        ____,  4478.10000
    421.97,        ____,  4483.90000
    422.45,        ____,  4470.30000
    422.93,        ____,  4451.70000
    423.40,        ____,  4424.50000
    423.88,        ____,  4426.40000
    424.36,        ____,  4422.10000
    424.83,        ____,  4423.10000
    425.31,        ____,  4432.30000
    425.79,        ____,  4484.30000
    426.26,        ____,  4520.90000
    426.74,        ____,  4503.90000
    427.22,        ____,  4482.60000
    427.69,        ____,  4448.10000
    428.17,        ____,  4421.00000
    428.65,        ____,  4401.00000
    429.12,        ____,  4430.40000
    429.60,        ____,  4426.10000
    430.08,        ____,  4436.10000
    430.55,        ____,  4432.50000
    431.03,        ____,  4421.20000
    431.50,        ____,  4398.00000
    431.98,        ____,  4387.40000
    432.46,        ____,  4396.90000
    432.93,        ____,  4371.00000
    433.41,        ____,  4352.30000
    433.89,        ____,  4347.40000
    434.36,        ____,  4354.00000
    434.84,        ____,  4352.80000
    435.31,        ____,  4369.00000
    435.79,        ____,  4360.60000
    436.27,        ____,  4353.10000
    436.74,        ____,  4349.20000
    437.22,        ____,  4351.50000
    437.70,        ____,  4344.00000
    438.17,        ____,  4328.60000
    438.65,        ____,  4315.50000
    439.12,        ____,  4318.00000
    439.60,        ____,  4315.50000
    440.08,        ____,  4323.60000
    440.55,        ____,  4313.50000
    441.03,        ____,  4330.80000
    441.50,        ____,  4328.30000
    441.98,        ____,  4341.20000
    442.45,        ____,  4322.00000
    442.93,        ____,  4311.60000
    443.41,        ____,  4304.00000
    443.88,        ____,  4317.10000
    444.36,        ____,  4304.20000
    444.83,        ____,  4311.70000
    445.31,        ____,  4305.90000
    445.78,        ____,  4288.20000
    446.26,        ____,  4288.40000
    446.74,        ____,  4277.80000
    447.21,        ____,  4291.70000
    447.69,        ____,  4312.90000
    448.16,        ____,  4339.00000
    448.64,        ____,  4322.40000
    449.11,        ____,  4305.70000
    449.59,        ____,  4304.80000
    450.06,        ____,  4307.20000
    450.54,        ____,  4300.60000
    451.02,        ____,  4328.10000
    451.49,        ____,  4329.00000
    451.97,        ____,  4328.50000
    452.44,        ____,  4318.10000
    452.92,        ____,  4308.80000
    453.39,        ____,  4293.70000
    453.87,        ____,  4303.00000
    454.34,        ____,  4308.30000
    454.82,        ____,  4312.40000
    455.29,        ____,  4323.10000
    455.77,        ____,  4339.10000
    456.24,        ____,  4317.60000
    456.72,        ____,  4282.60000
    457.19,        ____,  4272.70000
    457.67,        ____,  4276.00000
    458.14,        ____,  4310.80000
    458.62,        ____,  4323.40000
    459.09,        ____,  4322.20000
    459.57,        ____,  4294.70000
    460.04,        ____,  4305.10000
    460.52,        ____,  4305.00000
    460.99,        ____,  4305.10000
    461.47,        ____,  4296.20000
    461.94,        ____,  4268.30000
    462.42,        ____,  4256.00000
    462.89,        ____,  4270.80000
    463.37,        ____,  4292.80000
    463.84,        ____,  4314.50000
    464.32,        ____,  4335.20000
    464.79,        ____,  4331.90000
    465.26,        ____,  4326.50000
    465.74,        ____,  4297.90000
    466.21,        ____,  4316.50000
    466.69,        ____,  4330.60000
    467.16,        ____,  4344.10000
