2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/15 17:35

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  7685.40000
    108.66,        ____,  7676.80000
    109.15,        ____,  7669.10000
    109.65,        ____,  7646.70000
    110.14,        ____,  7593.50000
    110.63,        ____,  7519.00000
    111.13,        ____,  7414.50000
    111.62,        ____,  7284.60000
    112.11,        ____,  7205.70000
    112.60,        ____,  7155.20000
    113.10,        ____,  7101.20000
    113.59,        ____,  7096.40000
    114.08,        ____,  7105.40000
    114.58,        ____,  7103.50000
    115.07,        ____,  7169.30000
    115.56,        ____,  7200.40000
    116.06,        ____,  7200.90000
    116.55,        ____,  7202.10000
    117.04,        ____,  7197.50000
    117.53,        ____,  7172.80000
    118.03,        ____,  7210.30000
    118.52,        ____,  7226.30000
    119.01,        ____,  7233.10000
    119.51,        ____,  7347.50000
    120.00,        ____,  7491.10000
    120.49,        ____,  7587.90000
    120.98,        ____,  7662.40000
    121.48,        ____,  7650.60000
    121.97,        ____,  7610.50000
    122.46,        ____,  7670.90000
    122.95,        ____,  7789.10000
    123.45,        ____,  7907.90000
    123.94,        ____,  7990.80000
    124.43,        ____,  8081.90000
    124.92,        ____,  8193.10000
    125.42,        ____,  8258.40000
    125.91,        ____,  8339.40000
    126.40,        ____,  8383.00000
    126.89,        ____,  8425.40000
    127.39,        ____,  8481.70000
    127.88,        ____,  8566.40000
    128.37,        ____,  8635.40000
    128.86,        ____,  8721.50000
    129.35,        ____,  8785.40000
    129.85,        ____,  8857.00000
    130.34,        ____,  8880.40000
    130.83,        ____,  8894.20000
    131.32,        ____,  8927.20000
    131.81,        ____,  8981.40000
    132.31,        ____,  9069.70000
    132.80,        ____,  9170.20000
    133.29,        ____,  9259.00000
    133.78,        ____,  9340.50000
    134.27,        ____,  9440.40000
    134.77,        ____,  9533.10000
    135.26,        ____,  9639.10000
    135.75,        ____,  9700.30000
    136.24,        ____,  9776.10000
    136.73,        ____,  9763.80000
    137.23,        ____,  9768.70000
    137.72,        ____,  9743.60000
    138.21,        ____,  9746.10000
    138.70,        ____,  9754.10000
    139.19,        ____,  9840.20000
    139.68,        ____,  9872.80000
    140.18,        ____,  9923.00000
    140.67,        ____,  9950.20000
    141.16,        ____,  9943.10000
    141.65,        ____,  9926.30000
    142.14,        ____,  9928.30000
    142.63,        ____,  9993.40000
    143.13,        ____, 10042.00000
    143.62,        ____, 10148.00000
    144.11,        ____, 10202.40000
    144.60,        ____, 10241.50000
    145.09,        ____, 10296.90000
    145.58,        ____, 10424.20000
    146.07,        ____, 10472.00000
    146.56,        ____, 10494.50000
    147.06,        ____, 10501.80000
    147.55,        ____, 10499.90000
    148.04,        ____, 10474.80000
    148.53,        ____, 10532.00000
    149.02,        ____, 10529.60000
    149.51,        ____, 10620.00000
    150.00,        ____, 10723.90000
    150.49,        ____, 10809.00000
    150.99,        ____, 10848.90000
    151.48,        ____, 10886.20000
    151.97,        ____, 10847.20000
    152.46,        ____, 10859.80000
    152.95,        ____, 10830.60000
    153.44,        ____, 10824.20000
    153.93,        ____, 10835.30000
    154.42,        ____, 10879.00000
    154.91,        ____, 10916.80000
    155.40,        ____, 10947.80000
    155.89,        ____, 10998.70000
    156.39,        ____, 11053.40000
    156.88,        ____, 11013.70000
    157.37,        ____, 10957.90000
    157.86,        ____, 10888.50000
    158.35,        ____, 10803.60000
    158.84,        ____, 10771.10000
    159.33,        ____, 10799.40000
    159.82,        ____, 10798.00000
    160.31,        ____, 10789.10000
    160.80,        ____, 10823.80000
    161.29,        ____, 10764.10000
    161.78,        ____, 10713.60000
    162.27,        ____, 10683.40000
    162.76,        ____, 10661.40000
    163.25,        ____, 10597.90000
    163.74,        ____, 10554.50000
    164.23,        ____, 10452.70000
    164.72,        ____, 10357.00000
    165.21,        ____, 10243.30000
    165.70,        ____, 10185.50000
    166.20,        ____, 10163.90000
    166.69,        ____, 10146.50000
    167.18,        ____, 10140.10000
    167.67,        ____, 10108.60000
    168.16,        ____, 10037.00000
    168.65,        ____,  9952.10000
    169.14,        ____,  9903.60000
    169.63,        ____,  9807.80000
    170.12,        ____,  9721.00000
    170.61,        ____,  9637.70000
    171.10,        ____,  9585.30000
    171.59,        ____,  9487.80000
    172.08,        ____,  9432.10000
    172.57,        ____,  9379.80000
    173.06,        ____,  9362.40000
    173.55,        ____,  9339.10000
    174.04,        ____,  9256.60000
    174.53,        ____,  9161.80000
    175.02,        ____,  9052.80000
    175.50,        ____,  8985.90000
    175.99,        ____,  8966.40000
    176.48,        ____,  8958.20000
    176.97,        ____,  8928.90000
    177.46,        ____,  8956.70000
    177.95,        ____,  8929.20000
    178.44,        ____,  8900.30000
    178.93,        ____,  8872.00000
    179.42,        ____,  8862.70000
    179.91,        ____,  8863.60000
    180.40,        ____,  8863.40000
    180.89,        ____,  8860.60000
    181.38,        ____,  8826.10000
    181.87,        ____,  8801.00000
    182.36,        ____,  8784.60000
    182.85,        ____,  8788.70000
    183.34,        ____,  8854.30000
    183.83,        ____,  8913.80000
    184.32,        ____,  8937.50000
    184.81,        ____,  8976.40000
    185.29,        ____,  8926.30000
    185.78,        ____,  8832.30000
    186.27,        ____,  8770.00000
    186.76,        ____,  8718.20000
    187.25,        ____,  8648.70000
    187.74,        ____,  8706.50000
    188.23,        ____,  8732.20000
    188.72,        ____,  8745.40000
    189.21,        ____,  8729.10000
    189.70,        ____,  8741.10000
    190.19,        ____,  8738.90000
    190.67,        ____,  8739.80000
    191.16,        ____,  8791.80000
    191.65,        ____,  8861.60000
    192.14,        ____,  8891.00000
    192.63,        ____,  9007.70000
    193.12,        ____,  9136.00000
    193.61,        ____,  9149.10000
    194.10,        ____,  9200.70000
    194.59,        ____,  9262.70000
    195.07,        ____,  9236.20000
    195.56,        ____,  9245.00000
    196.05,        ____,  9277.70000
    196.54,        ____,  9246.50000
    197.03,        ____,  9205.10000
    197.52,        ____,  9250.50000
    198.01,        ____,  9185.00000
    198.49,        ____,  9065.10000
    198.98,        ____,  8993.60000
    199.47,        ____,  8883.60000
    199.96,        ____,  8764.90000
    200.45,        ____,  8748.20000
    200.94,        ____,  8729.60000
    201.43,        ____,  8658.40000
    201.91,        ____,  8576.60000
    202.40,        ____,  8532.80000
    202.89,        ____,  8461.90000
    203.38,        ____,  8440.40000
    203.87,        ____,  8442.10000
    204.36,        ____,  8380.60000
    204.84,        ____,  8310.90000
    205.33,        ____,  8304.90000
    205.82,        ____,  8277.60000
    206.31,        ____,  8222.10000
    206.80,        ____,  8213.80000
    207.28,        ____,  8205.90000
    207.77,        ____,  8188.40000
    208.26,        ____,  8191.70000
    208.75,        ____,  8215.20000
    209.24,        ____,  8185.50000
    209.72,        ____,  8223.70000
    210.21,        ____,  8252.10000
    210.70,        ____,  8209.80000
    211.19,        ____,  8201.10000
    211.68,        ____,  8223.10000
    212.16,        ____,  8227.10000
    212.65,        ____,  8251.20000
    213.14,        ____,  8263.10000
    213.63,        ____,  8258.10000
    214.12,        ____,  8246.10000
    214.60,        ____,  8269.90000
    215.09,        ____,  8296.90000
    215.58,        ____,  8295.40000
    216.07,        ____,  8293.20000
    216.55,        ____,  8313.40000
    217.04,        ____,  8246.10000
    217.53,        ____,  8256.70000
    218.02,        ____,  8277.30000
    218.50,        ____,  8299.10000
    218.99,        ____,  8347.50000
    219.48,        ____,  8419.00000
    219.97,        ____,  8421.50000
    220.45,        ____,  8481.80000
    220.94,        ____,  8518.40000
    221.43,        ____,  8555.30000
    221.92,        ____,  8587.20000
    222.40,        ____,  8590.10000
    222.89,        ____,  8590.00000
    223.38,        ____,  8612.60000
    223.86,        ____,  8647.10000
    224.35,        ____,  8675.30000
    224.84,        ____,  8681.20000
    225.33,        ____,  8670.20000
    225.81,        ____,  8635.20000
    226.30,        ____,  8597.20000
    226.79,        ____,  8568.00000
    227.27,        ____,  8530.70000
    227.76,        ____,  8505.60000
    228.25,        ____,  8493.20000
    228.74,        ____,  8464.90000
    229.22,        ____,  8445.10000
    229.71,        ____,  8378.20000
    230.20,        ____,  8302.50000
    230.68,        ____,  8236.70000
    231.17,        ____,  8150.10000
    231.66,        ____,  8053.70000
    232.14,        ____,  7971.20000
    232.63,        ____,  7875.60000
    233.12,        ____,  7812.00000
    233.60,        ____,  7766.40000
    234.09,        ____,  7671.40000
    234.58,        ____,  7595.50000
    235.06,        ____,  7538.20000
    235.55,        ____,  7485.80000
    236.04,        ____,  7429.80000
    236.52,        ____,  7393.30000
    237.01,        ____,  7304.10000
    237.50,        ____,  7277.40000
    237.98,        ____,  7223.70000
    238.47,        ____,  7230.50000
    238.96,        ____,  7195.10000
    239.44,        ____,  7150.60000
    239.93,        ____,  7115.10000
    240.41,        ____,  7046.90000
    240.90,        ____,  6953.00000
    241.39,        ____,  6949.50000
    241.87,        ____,  6947.30000
    242.36,        ____,  6933.60000
    242.85,        ____,  6962.60000
    243.33,        ____,  6943.60000
    243.82,        ____,  6916.00000
    244.30,        ____,  6884.70000
    244.79,        ____,  6851.10000
    245.28,        ____,  6788.90000
    245.76,        ____,  6741.70000
    246.25,        ____,  6696.50000
    246.74,        ____,  6692.70000
    247.22,        ____,  6701.80000
    247.71,        ____,  6691.00000
    248.19,        ____,  6675.60000
    248.68,        ____,  6675.20000
    249.16,        ____,  6646.60000
    249.65,        ____,  6671.80000
    250.14,        ____,  6680.00000
    250.62,        ____,  6649.20000
    251.11,        ____,  6615.00000
    251.59,        ____,  6592.10000
    252.08,        ____,  6570.60000
    252.57,        ____,  6574.90000
    253.05,        ____,  6568.30000
    253.54,        ____,  6590.80000
    254.02,        ____,  6604.70000
    254.51,        ____,  6609.30000
    254.99,        ____,  6598.00000
    255.48,        ____,  6560.70000
    255.96,        ____,  6520.40000
    256.45,        ____,  6527.90000
    256.94,        ____,  6521.00000
    257.42,        ____,  6508.20000
    257.91,        ____,  6509.10000
    258.39,        ____,  6521.70000
    258.88,        ____,  6519.50000
    259.36,        ____,  6546.80000
    259.85,        ____,  6550.80000
    260.33,        ____,  6555.40000
    260.82,        ____,  6568.90000
    261.30,        ____,  6586.00000
    261.79,        ____,  6567.80000
    262.27,        ____,  6556.60000
    262.76,        ____,  6554.60000
    263.24,        ____,  6556.40000
    263.73,        ____,  6573.80000
    264.22,        ____,  6598.90000
    264.70,        ____,  6585.70000
    265.19,        ____,  6562.90000
    265.67,        ____,  6554.50000
    266.16,        ____,  6545.20000
    266.64,        ____,  6574.00000
    267.13,        ____,  6603.50000
    267.61,        ____,  6602.30000
    268.10,        ____,  6634.30000
    268.58,        ____,  6650.00000
    269.06,        ____,  6644.90000
    269.55,        ____,  6666.20000
    270.03,        ____,  6673.90000
    270.52,        ____,  6690.80000
    271.00,        ____,  6722.80000
    271.49,        ____,  6729.60000
    271.97,        ____,  6733.30000
    272.46,        ____,  6742.60000
    272.94,        ____,  6728.80000
    273.43,        ____,  6726.50000
    273.91,        ____,  6710.80000
    274.40,        ____,  6700.40000
    274.88,        ____,  6710.40000
    275.37,        ____,  6738.70000
    275.85,        ____,  6759.00000
    276.33,        ____,  6772.40000
    276.82,        ____,  6801.10000
    277.30,        ____,  6812.50000
    277.79,        ____,  6828.50000
    278.27,        ____,  6859.70000
    278.76,        ____,  6887.40000
    279.24,        ____,  6889.30000
    279.73,        ____,  6894.00000
    280.21,        ____,  6875.60000
    280.69,        ____,  6863.70000
    281.18,        ____,  6873.40000
    281.66,        ____,  6899.40000
    282.15,        ____,  6939.20000
    282.63,        ____,  6932.10000
    283.11,        ____,  6911.00000
    283.60,        ____,  6903.40000
    284.08,        ____,  6916.80000
    284.57,        ____,  6888.90000
    285.05,        ____,  6888.50000
    285.53,        ____,  6858.40000
    286.02,        ____,  6821.80000
    286.50,        ____,  6839.20000
    286.99,        ____,  6854.90000
    287.47,        ____,  6825.00000
    287.95,        ____,  6801.40000
    288.44,        ____,  6774.50000
    288.92,        ____,  6755.20000
    289.41,        ____,  6757.40000
    289.89,        ____,  6766.60000
    290.37,        ____,  6751.50000
    290.86,        ____,  6764.60000
    291.34,        ____,  6706.40000
    291.82,        ____,  6669.70000
    292.31,        ____,  6626.30000
    292.79,        ____,  6609.00000
    293.28,        ____,  6579.40000
    293.76,        ____,  6564.30000
    294.24,        ____,  6528.80000
    294.73,        ____,  6519.70000
    295.21,        ____,  6506.40000
    295.69,        ____,  6494.70000
    296.18,        ____,  6452.00000
    296.66,        ____,  6377.70000
    297.14,        ____,  6340.70000
    297.63,        ____,  6318.50000
    298.11,        ____,  6304.30000
    298.59,        ____,  6307.60000
    299.08,        ____,  6295.90000
    299.56,        ____,  6271.40000
    300.04,        ____,  6270.20000
    300.53,        ____,  6250.40000
    301.01,        ____,  6211.20000
    301.49,        ____,  6171.70000
    301.98,        ____,  6098.80000
    302.46,        ____,  6044.70000
    302.94,        ____,  6014.20000
    303.42,        ____,  5982.20000
    303.91,        ____,  5941.10000
    304.39,        ____,  5909.20000
    304.87,        ____,  5885.40000
    305.36,        ____,  5889.60000
    305.84,        ____,  5899.30000
    306.32,        ____,  5910.90000
    306.81,        ____,  5876.50000
    307.29,        ____,  5824.20000
    307.77,        ____,  5784.80000
    308.25,        ____,  5755.00000
    308.74,        ____,  5747.60000
    309.22,        ____,  5719.70000
    309.70,        ____,  5684.20000
    310.18,        ____,  5640.90000
    310.67,        ____,  5622.50000
    311.15,        ____,  5619.40000
    311.63,        ____,  5627.70000
    312.12,        ____,  5618.60000
    312.60,        ____,  5581.60000
    313.08,        ____,  5537.70000
    313.56,        ____,  5514.20000
    314.05,        ____,  5496.40000
    314.53,        ____,  5507.80000
    315.01,        ____,  5544.10000
    315.49,        ____,  5526.70000
    315.98,        ____,  5509.00000
    316.46,        ____,  5467.30000
    316.94,        ____,  5412.50000
    317.42,        ____,  5379.70000
    317.90,        ____,  5368.70000
    318.39,        ____,  5341.80000
    318.87,        ____,  5378.90000
    319.35,        ____,  5388.20000
    319.83,        ____,  5393.10000
    320.32,        ____,  5393.20000
    320.80,        ____,  5398.90000
    321.28,        ____,  5354.40000
    321.76,        ____,  5376.90000
    322.24,        ____,  5353.40000
    322.73,        ____,  5353.40000
    323.21,        ____,  5344.20000
    323.69,        ____,  5347.40000
    324.17,        ____,  5302.20000
    324.65,        ____,  5285.10000
    325.14,        ____,  5293.10000
    325.62,        ____,  5303.40000
    326.10,        ____,  5337.50000
    326.58,        ____,  5337.50000
    327.06,        ____,  5280.80000
    327.55,        ____,  5286.20000
    328.03,        ____,  5301.60000
    328.51,        ____,  5297.10000
    328.99,        ____,  5302.60000
    329.47,        ____,  5285.30000
    329.95,        ____,  5208.70000
    330.44,        ____,  5208.50000
    330.92,        ____,  5166.80000
    331.40,        ____,  5141.50000
    331.88,        ____,  5123.50000
    332.36,        ____,  5126.60000
    332.84,        ____,  5150.00000
    333.33,        ____,  5128.10000
    333.81,        ____,  5295.10000
    334.29,        ____,  5403.00000
    334.77,        ____,  5430.60000
    335.25,        ____,  5378.80000
    335.73,        ____,  5298.00000
    336.21,        ____,  5138.60000
    336.69,        ____,  5179.80000
    337.18,        ____,  5150.90000
    337.66,        ____,  5112.50000
    338.14,        ____,  5085.80000
    338.62,        ____,  5079.00000
    339.10,        ____,  5112.20000
    339.58,        ____,  5144.20000
    340.06,        ____,  5151.10000
    340.54,        ____,  5150.80000
    341.03,        ____,  5124.20000
    341.51,        ____,  5076.90000
    341.99,        ____,  5081.60000
    342.47,        ____,  5083.70000
    342.95,        ____,  5083.80000
    343.43,        ____,  5088.60000
    343.91,        ____,  5091.30000
    344.39,        ____,  5060.50000
    344.87,        ____,  5053.30000
    345.35,        ____,  5055.10000
    345.84,        ____,  5053.20000
    346.32,        ____,  5091.20000
    346.80,        ____,  5107.90000
    347.28,        ____,  5103.90000
    347.76,        ____,  5070.80000
    348.24,        ____,  5058.80000
    348.72,        ____,  5073.20000
    349.20,        ____,  5093.60000
    349.68,        ____,  5075.90000
    350.16,        ____,  5050.70000
    350.64,        ____,  5003.70000
    351.12,        ____,  4994.40000
    351.60,        ____,  5050.80000
    352.08,        ____,  5093.80000
    352.56,        ____,  5115.60000
    353.04,        ____,  5112.40000
    353.53,        ____,  5085.50000
    354.01,        ____,  5056.30000
    354.49,        ____,  5060.30000
    354.97,        ____,  5037.40000
    355.45,        ____,  5037.30000
    355.93,        ____,  5023.60000
    356.41,        ____,  5049.60000
    356.89,        ____,  5041.00000
    357.37,        ____,  5045.10000
    357.85,        ____,  4999.20000
    358.33,        ____,  4980.20000
    358.81,        ____,  4955.00000
    359.29,        ____,  4974.10000
    359.77,        ____,  4992.60000
    360.25,        ____,  5016.30000
    360.73,        ____,  5008.80000
    361.21,        ____,  4996.10000
    361.69,        ____,  5009.90000
    362.17,        ____,  5014.70000
    362.65,        ____,  5038.60000
    363.13,        ____,  5045.80000
    363.61,        ____,  5059.10000
    364.09,        ____,  5027.30000
    364.57,        ____,  5020.90000
    365.05,        ____,  5018.00000
    365.53,        ____,  4998.60000
    366.01,        ____,  5004.20000
    366.49,        ____,  5056.70000
    366.97,        ____,  5015.40000
    367.45,        ____,  5024.50000
    367.93,        ____,  5052.20000
    368.41,        ____,  5034.60000
    368.89,        ____,  5043.00000
    369.37,        ____,  5064.80000
    369.85,        ____,  5013.80000
    370.33,        ____,  5035.00000
    370.80,        ____,  5047.70000
    371.28,        ____,  5042.00000
    371.76,        ____,  5019.90000
    372.24,        ____,  5005.30000
