2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/15 13:01

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  7110.70000
    108.66,        ____,  7107.10000
    109.15,        ____,  7104.70000
    109.65,        ____,  7097.50000
    110.14,        ____,  7063.10000
    110.63,        ____,  7026.00000
    111.13,        ____,  6993.70000
    111.62,        ____,  6932.80000
    112.11,        ____,  6879.40000
    112.60,        ____,  6828.10000
    113.10,        ____,  6743.00000
    113.59,        ____,  6694.70000
    114.08,        ____,  6674.10000
    114.58,        ____,  6642.00000
    115.07,        ____,  6663.30000
    115.56,        ____,  6673.10000
    116.06,        ____,  6657.60000
    116.55,        ____,  6674.50000
    117.04,        ____,  6680.30000
    117.53,        ____,  6671.40000
    118.03,        ____,  6719.00000
    118.52,        ____,  6742.90000
    119.01,        ____,  6735.20000
    119.51,        ____,  6839.40000
    120.00,        ____,  6930.60000
    120.49,        ____,  6977.70000
    120.98,        ____,  6986.30000
    121.48,        ____,  6906.00000
    121.97,        ____,  6807.10000
    122.46,        ____,  6794.60000
    122.95,        ____,  6814.00000
    123.45,        ____,  6860.60000
    123.94,        ____,  6875.90000
    124.43,        ____,  6903.20000
    124.92,        ____,  6966.30000
    125.42,        ____,  6985.50000
    125.91,        ____,  7042.10000
    126.40,        ____,  7067.20000
    126.89,        ____,  7079.00000
    127.39,        ____,  7077.40000
    127.88,        ____,  7070.10000
    128.37,        ____,  7062.60000
    128.86,        ____,  7090.70000
    129.35,        ____,  7090.00000
    129.85,        ____,  7120.00000
    130.34,        ____,  7102.90000
    130.83,        ____,  7090.40000
    131.32,        ____,  7111.00000
    131.81,        ____,  7118.60000
    132.31,        ____,  7137.50000
    132.80,        ____,  7150.90000
    133.29,        ____,  7137.00000
    133.78,        ____,  7155.70000
    134.27,        ____,  7209.20000
    134.77,        ____,  7246.70000
    135.26,        ____,  7279.40000
    135.75,        ____,  7260.90000
    136.24,        ____,  7271.90000
    136.73,        ____,  7246.90000
    137.23,        ____,  7263.30000
    137.72,        ____,  7269.20000
    138.21,        ____,  7275.20000
    138.70,        ____,  7285.40000
    139.19,        ____,  7363.10000
    139.68,        ____,  7372.40000
    140.18,        ____,  7387.90000
    140.67,        ____,  7386.00000
    141.16,        ____,  7385.20000
    141.65,        ____,  7354.50000
    142.14,        ____,  7360.80000
    142.63,        ____,  7388.20000
    143.13,        ____,  7396.80000
    143.62,        ____,  7424.00000
    144.11,        ____,  7449.80000
    144.60,        ____,  7425.50000
    145.09,        ____,  7430.30000
    145.58,        ____,  7496.90000
    146.07,        ____,  7508.90000
    146.56,        ____,  7504.40000
    147.06,        ____,  7495.10000
    147.55,        ____,  7478.50000
    148.04,        ____,  7446.80000
    148.53,        ____,  7505.00000
    149.02,        ____,  7511.60000
    149.51,        ____,  7598.30000
    150.00,        ____,  7666.60000
    150.49,        ____,  7706.10000
    150.99,        ____,  7715.10000
    151.48,        ____,  7721.30000
    151.97,        ____,  7674.40000
    152.46,        ____,  7693.40000
    152.95,        ____,  7686.10000
    153.44,        ____,  7691.20000
    153.93,        ____,  7719.50000
    154.42,        ____,  7777.90000
    154.91,        ____,  7798.00000
    155.40,        ____,  7811.40000
    155.89,        ____,  7798.50000
    156.39,        ____,  7796.70000
    156.88,        ____,  7751.40000
    157.37,        ____,  7740.50000
    157.86,        ____,  7704.50000
    158.35,        ____,  7668.20000
    158.84,        ____,  7642.40000
    159.33,        ____,  7647.60000
    159.82,        ____,  7626.80000
    160.31,        ____,  7642.30000
    160.80,        ____,  7698.30000
    161.29,        ____,  7691.90000
    161.78,        ____,  7695.60000
    162.27,        ____,  7678.50000
    162.76,        ____,  7675.70000
    163.25,        ____,  7684.90000
    163.74,        ____,  7699.80000
    164.23,        ____,  7660.10000
    164.72,        ____,  7629.40000
    165.21,        ____,  7545.80000
    165.70,        ____,  7506.70000
    166.20,        ____,  7522.60000
    166.69,        ____,  7533.60000
    167.18,        ____,  7539.10000
    167.67,        ____,  7541.00000
    168.16,        ____,  7496.30000
    168.65,        ____,  7426.90000
    169.14,        ____,  7425.40000
    169.63,        ____,  7416.50000
    170.12,        ____,  7394.10000
    170.61,        ____,  7368.60000
    171.10,        ____,  7385.00000
    171.59,        ____,  7315.50000
    172.08,        ____,  7261.30000
    172.57,        ____,  7237.80000
    173.06,        ____,  7208.70000
    173.55,        ____,  7168.60000
    174.04,        ____,  7131.90000
    174.53,        ____,  7068.00000
    175.02,        ____,  7030.10000
    175.50,        ____,  7051.20000
    175.99,        ____,  7058.60000
    176.48,        ____,  7044.90000
    176.97,        ____,  6982.50000
    177.46,        ____,  6946.90000
    177.95,        ____,  6926.20000
    178.44,        ____,  6926.00000
    178.93,        ____,  6905.90000
    179.42,        ____,  6900.00000
    179.91,        ____,  6874.70000
    180.40,        ____,  6860.60000
    180.89,        ____,  6847.00000
    181.38,        ____,  6819.40000
    181.87,        ____,  6800.60000
    182.36,        ____,  6789.90000
    182.85,        ____,  6761.20000
    183.34,        ____,  6795.90000
    183.83,        ____,  6821.70000
    184.32,        ____,  6826.10000
    184.81,        ____,  6877.40000
    185.29,        ____,  6865.70000
    185.78,        ____,  6814.60000
    186.27,        ____,  6794.40000
    186.76,        ____,  6772.10000
    187.25,        ____,  6724.70000
    187.74,        ____,  6781.70000
    188.23,        ____,  6797.20000
    188.72,        ____,  6804.50000
    189.21,        ____,  6781.10000
    189.70,        ____,  6771.10000
    190.19,        ____,  6768.90000
    190.67,        ____,  6779.20000
    191.16,        ____,  6818.00000
    191.65,        ____,  6846.80000
    192.14,        ____,  6842.90000
    192.63,        ____,  6879.80000
    193.12,        ____,  6924.80000
    193.61,        ____,  6908.30000
    194.10,        ____,  6956.50000
    194.59,        ____,  6975.90000
    195.07,        ____,  6990.50000
    195.56,        ____,  7037.70000
    196.05,        ____,  7054.40000
    196.54,        ____,  7034.70000
    197.03,        ____,  7046.10000
    197.52,        ____,  7039.70000
    198.01,        ____,  6999.20000
    198.49,        ____,  6971.30000
    198.98,        ____,  6925.10000
    199.47,        ____,  6842.20000
    199.96,        ____,  6800.50000
    200.45,        ____,  6766.90000
