TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,14:57:19
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.2680
LASTX, 1302.2680
NPOINTS,    1106
FIRSTY,   177.00000
MAXY,   758.80609
MINY,   177.00000
XYDATA
197.2680,177
198.2680,178.487
199.2680,179.567
200.2680,180.171
201.2680,179.861
202.2680,179.798
203.2680,181.355
204.2680,181.707
205.2680,183.246
206.2680,184.463
207.2680,184.786
208.2680,185.703
209.2680,186.965
210.2680,187.911
211.2680,189.793
212.2680,190.873
213.2680,192.991
214.2680,196.799
215.2680,198.188
216.2680,200.606
217.2680,203.944
218.2680,207.498
219.2680,211.299
220.2680,217.435
221.2680,227.461
222.2680,237.802
223.2680,254.193
224.2680,274.316
225.2680,293.637
226.2680,306.226
227.2680,303.045
228.2680,285.444
229.2680,266.96
230.2680,252.859
231.2680,242.908
232.2680,237.57
233.2680,235.558
234.2680,232.223
235.2680,231.665
236.2680,231.133
237.2680,231.307
238.2680,234.174
239.2680,237.24
240.2680,242.417
241.2680,248.944
242.2680,257.442
243.2680,266.42
244.2680,275.37
245.2680,284.544
246.2680,287.17
247.2680,279.126
248.2680,270.211
249.2680,261.311
250.2680,251.826
251.2680,246.632
252.2680,242.171
253.2680,237.354
254.2680,236.058
255.2680,236.305
256.2680,235.529
257.2680,235.114
258.2680,234.943
259.2680,234.061
260.2680,235.326
261.2680,235.421
262.2680,235.614
263.2680,237.822
264.2680,236.773
265.2680,237.691
266.2680,238.348
267.2680,238.587
268.2680,239.939
269.2680,241.774
270.2680,242.375
271.2680,242.62
272.2680,245.049
273.2680,247.266
274.2680,246.556
275.2680,247.222
276.2680,251.65
277.2680,251.957
278.2680,255.204
279.2680,255.846
280.2680,257.959
281.2680,263.678
282.2680,267.893
283.2680,272.009
284.2680,277.493
285.2680,287.156
286.2680,298.922
287.2680,312.091
288.2680,328.764
289.2680,349.586
290.2680,372.337
291.2680,390.618
292.2680,405.125
293.2680,411.867
294.2680,403.933
295.2680,386.527
296.2680,375.164
297.2680,368.513
298.2680,363.683
299.2680,360.306
300.2680,355.689
301.2680,347.343
302.2680,336.538
303.2680,323.989
304.2680,312.761
305.2680,302.642
306.2680,292.597
307.2680,284.294
308.2680,279.484
309.2680,275.518
310.2680,269.625
311.2680,265.61
312.2680,263.533
313.2680,261.943
314.2680,260.59
315.2680,258.55
316.2680,255.681
317.2680,256.126
318.2680,255.702
319.2680,253.642
320.2680,252.614
321.2680,252.78
322.2680,252.426
323.2680,250.838
324.2680,250.852
325.2680,251.696
326.2680,250.792
327.2680,249.38
328.2680,250.523
329.2680,252.111
330.2680,250.706
331.2680,248.479
332.2680,249.003
333.2680,250.338
334.2680,249.496
335.2680,249.024
336.2680,250.765
337.2680,250.069
338.2680,250.035
339.2680,250.644
340.2680,250.149
341.2680,250.132
342.2680,251.484
343.2680,251.823
344.2680,252.284
345.2680,251.557
346.2680,250.988
347.2680,251.214
348.2680,251.036
349.2680,251.727
350.2680,251.835
351.2680,252.277
352.2680,252.165
353.2680,252.525
354.2680,253.257
355.2680,252.565
356.2680,252.062
357.2680,251.24
358.2680,252.907
359.2680,252.641
