TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,15:58:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.2680
LASTX, 1302.2680
NPOINTS,    1106
FIRSTY,   177.75000
MAXY,   654.40118
MINY,   177.75000
XYDATA
197.2680,177.75
198.2680,177.949
199.2680,179.252
200.2680,179.981
201.2680,179.802
202.2680,179.76
203.2680,180.466
204.2680,182.631
205.2680,183.346
206.2680,183.23
207.2680,183.84
208.2680,185.472
209.2680,187.454
210.2680,188.209
211.2680,189.319
212.2680,190.905
213.2680,193.278
214.2680,196.12
215.2680,197.923
216.2680,200.366
217.2680,203.937
218.2680,208.604
219.2680,213.673
220.2680,219.617
221.2680,228.452
222.2680,239.779
223.2680,252.388
224.2680,264.666
225.2680,278.593
226.2680,288.86
227.2680,283.622
228.2680,270.927
229.2680,258.064
230.2680,248.664
231.2680,241.764
232.2680,236.618
233.2680,234.773
234.2680,233.275
235.2680,229.604
236.2680,230.11
237.2680,232.946
238.2680,233.54
239.2680,235.99
240.2680,241.192
241.2680,245.828
242.2680,249.3
243.2680,254.074
244.2680,260.904
245.2680,266.854
246.2680,268.744
247.2680,265.245
248.2680,260.316
249.2680,254.572
250.2680,248.869
251.2680,245.423
252.2680,241.314
253.2680,237.844
254.2680,237.094
255.2680,237.468
256.2680,236.817
257.2680,235.196
258.2680,233.874
259.2680,235.034
260.2680,236.17
261.2680,236.612
262.2680,238.346
263.2680,239.769
264.2680,237.891
265.2680,239.597
266.2680,239.893
267.2680,240.356
268.2680,241.486
269.2680,242.54
270.2680,245.006
271.2680,245.052
272.2680,246.626
273.2680,248.569
274.2680,249.399
275.2680,250.357
276.2680,252.546
277.2680,255.216
278.2680,256.866
279.2680,257.011
280.2680,260.69
281.2680,266.684
282.2680,270.049
283.2680,274.425
284.2680,281.972
285.2680,291.521
286.2680,303.407
287.2680,315.418
288.2680,328.82
289.2680,347.238
290.2680,363.668
291.2680,379.901
292.2680,386.707
293.2680,385.194
294.2680,380.918
295.2680,371.756
296.2680,358.115
297.2680,349.823
298.2680,349.703
299.2680,348.47
300.2680,342.695
301.2680,336.47
302.2680,329.055
303.2680,317.773
304.2680,308.499
305.2680,300.758
306.2680,293.146
307.2680,286.325
308.2680,281.532
309.2680,278.781
310.2680,274.063
311.2680,270.453
312.2680,267.974
313.2680,266.001
314.2680,264.113
315.2680,261.049
316.2680,258.477
317.2680,256.597
318.2680,257.251
319.2680,256.234
320.2680,254.204
321.2680,255.245
322.2680,255.157
323.2680,254.252
324.2680,254.133
325.2680,254.337
326.2680,254.044
327.2680,252.842
328.2680,252.515
329.2680,254.906
330.2680,251.788
331.2680,251.484
332.2680,253.129
333.2680,252.328
334.2680,251.412
335.2680,252.255
336.2680,251.677
337.2680,251.855
338.2680,250.761
339.2680,251.025
340.2680,252.123
341.2680,251.159
342.2680,251.487
343.2680,252.328
344.2680,253.141
345.2680,253.074
346.2680,252.9
347.2680,253.454
348.2680,253.704
349.2680,252.905
350.2680,252.877
351.2680,253.674
352.2680,254.882
353.2680,255.449
354.2680,254.458
355.2680,253.384
356.2680,253.921
357.2680,252.328
358.2680,253.902
359.2680,255.104
