TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,15:04:44
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.2680
LASTX, 1302.2680
NPOINTS,    1106
FIRSTY,   177.25000
MAXY,   690.34424
MINY,   177.25000
XYDATA
197.2680,177.25
198.2680,178.718
199.2680,178.97
200.2680,179.34
201.2680,179.86
202.2680,179.889
203.2680,180.238
204.2680,181.381
205.2680,184.043
206.2680,184.483
207.2680,184.04
208.2680,186.035
209.2680,187.969
210.2680,188.348
211.2680,190.551
212.2680,191.845
213.2680,193.975
214.2680,197.638
215.2680,197.595
216.2680,200.276
217.2680,204.254
218.2680,207.877
219.2680,213.774
220.2680,221.339
221.2680,226.938
222.2680,237.498
223.2680,250.94
224.2680,265.19
225.2680,279.98
226.2680,288.953
227.2680,284.181
228.2680,273.934
229.2680,261.141
230.2680,249.17
231.2680,241.569
232.2680,237.973
233.2680,235.3
234.2680,233.515
235.2680,232.635
236.2680,232.566
237.2680,234.132
238.2680,236.646
239.2680,238.618
240.2680,242.313
241.2680,246.574
242.2680,253.548
243.2680,259.322
244.2680,264.266
245.2680,272.631
246.2680,274.135
247.2680,272.922
248.2680,267.477
249.2680,259.326
250.2680,252.236
251.2680,246.6
252.2680,242.298
253.2680,238.758
254.2680,238.581
255.2680,237.916
256.2680,236.723
257.2680,237.4
258.2680,235.002
259.2680,236.039
260.2680,239.49
261.2680,239.631
262.2680,239.161
263.2680,241.057
264.2680,239.693
265.2680,239.479
266.2680,241.037
267.2680,241.878
268.2680,242.284
269.2680,242.881
270.2680,243.132
271.2680,245.716
272.2680,247.015
273.2680,249.074
274.2680,250.735
275.2680,250.862
276.2680,251.813
277.2680,252.915
278.2680,255.319
279.2680,258.336
280.2680,261.077
281.2680,263.798
282.2680,267.611
283.2680,273.819
284.2680,282.373
285.2680,288.376
286.2680,297.655
287.2680,310.848
288.2680,324.71
289.2680,341.221
290.2680,358.208
291.2680,374.503
292.2680,384.499
293.2680,386.711
294.2680,381.572
295.2680,371.548
296.2680,363.007
297.2680,353.494
298.2680,349.963
299.2680,347.393
300.2680,342.157
301.2680,335.229
302.2680,325.562
303.2680,318.158
304.2680,309.749
305.2680,299.72
306.2680,292.336
307.2680,286.309
308.2680,280.222
309.2680,279.482
310.2680,273.105
311.2680,267.921
312.2680,266.294
313.2680,264.115
314.2680,262.054
315.2680,262.342
316.2680,259.471
317.2680,258.882
318.2680,258.687
319.2680,257.919
320.2680,256.457
321.2680,255.022
322.2680,256.456
323.2680,256.318
324.2680,255.525
325.2680,254.784
326.2680,253.438
327.2680,252.452
328.2680,253.501
329.2680,255.142
330.2680,255.308
331.2680,253.767
332.2680,253.381
333.2680,254.262
334.2680,253.703
335.2680,252.109
336.2680,252.538
337.2680,252.787
338.2680,254.033
339.2680,254.512
340.2680,253.125
341.2680,252.764
342.2680,254.238
343.2680,254.093
344.2680,254.927
345.2680,253.986
346.2680,252.807
347.2680,253.958
348.2680,255.031
349.2680,255.187
350.2680,257.008
351.2680,255.06
352.2680,255.783
353.2680,256.841
354.2680,255.933
355.2680,257.216
356.2680,255.133
357.2680,254.699
358.2680,255.534
359.2680,256.255
