TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,13:40:30
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  196.8803
LASTX, 1301.8803
NPOINTS,    1106
FIRSTY,   178.00000
MAXY,   676.81329
MINY,   178.00000
XYDATA
196.8803,178
197.8803,178.833
198.8803,179.611
199.8803,180.182
200.8803,180.732
201.8803,180.768
202.8803,180.715
203.8803,183.801
204.8803,184.845
205.8803,184.993
206.8803,186.047
207.8803,187.188
208.8803,188.676
209.8803,191.096
210.8803,191.939
211.8803,192.945
212.8803,196.704
213.8803,200.003
214.8803,199.565
215.8803,203.538
216.8803,206.9
217.8803,211.263
218.8803,216.446
219.8803,221.055
220.8803,230.444
221.8803,245.459
222.8803,258.389
223.8803,280.052
224.8803,301.243
225.8803,304.151
226.8803,295.362
227.8803,279.427
228.8803,263.178
229.8803,252.747
230.8803,245.578
231.8803,239.258
232.8803,237.398
233.8803,236.212
234.8803,234.633
235.8803,234.362
236.8803,235.516
237.8803,238.077
238.8803,242.481
239.8803,246.225
240.8803,252.021
241.8803,260.45
242.8803,268.536
243.8803,276.471
244.8803,283.808
245.8803,281.176
246.8803,274.78
247.8803,267.497
248.8803,257.6
249.8803,249.18
250.8803,247.313
251.8803,245.2
252.8803,241.822
253.8803,241.704
254.8803,241.88
255.8803,239.538
256.8803,238.742
257.8803,240.541
258.8803,238.197
259.8803,240.406
260.8803,241.682
261.8803,240.477
262.8803,243.553
263.8803,246.039
264.8803,243.351
265.8803,245.388
266.8803,246.653
267.8803,246.101
268.8803,247.709
269.8803,248.126
270.8803,249.456
271.8803,251.858
272.8803,252.183
273.8803,251.846
274.8803,253.367
275.8803,255.056
276.8803,255.775
277.8803,258.741
278.8803,261.379
279.8803,265.246
280.8803,270.208
281.8803,273.028
282.8803,276.931
283.8803,287.016
284.8803,293.755
285.8803,303.406
286.8803,318.834
287.8803,333.663
288.8803,350.472
289.8803,375.642
290.8803,389.677
291.8803,401.81
292.8803,404.728
293.8803,390.823
294.8803,376.119
295.8803,369.749
296.8803,363.289
297.8803,361.539
298.8803,359.564
299.8803,351.909
300.8803,342.036
301.8803,332.858
302.8803,321.365
303.8803,309.299
304.8803,301.221
305.8803,295.294
306.8803,288.928
307.8803,283.527
308.8803,278.796
309.8803,273.812
310.8803,271.515
311.8803,268.628
312.8803,266.885
313.8803,267.247
314.8803,264.719
315.8803,264.372
316.8803,262.378
317.8803,260.37
318.8803,259.938
319.8803,259.696
320.8803,258.067
321.8803,256.353
322.8803,258.431
323.8803,258.081
324.8803,257.883
325.8803,257.606
326.8803,256.065
327.8803,256.712
328.8803,257.643
329.8803,256.68
330.8803,256.885
331.8803,256.382
332.8803,256.298
333.8803,257.246
334.8803,255.356
335.8803,255.554
336.8803,255.512
337.8803,255.898
338.8803,256.348
339.8803,255.932
340.8803,255.478
341.8803,256.09
342.8803,257.787
343.8803,257.974
344.8803,257.501
345.8803,257.675
346.8803,258.566
347.8803,259.414
348.8803,259.801
349.8803,261.148
350.8803,257.786
351.8803,257.882
352.8803,259.781
353.8803,258.527
354.8803,259.609
355.8803,261.998
356.8803,259.811
357.8803,259.308
358.8803,260.43
