TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,17:30:03
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.0736
LASTX, 1302.0736
NPOINTS,    1106
FIRSTY,   177.25000
MAXY,   558.52875
MINY,   177.25000
XYDATA
197.0736,177.25
198.0736,178.148
199.0736,179.357
200.0736,179.998
201.0736,179.962
202.0736,179.862
203.0736,180.347
204.0736,182.325
205.0736,183.575
206.0736,183.396
207.0736,183.75
208.0736,185.566
209.0736,186.858
210.0736,187.176
211.0736,189.557
212.0736,190.735
213.0736,193.289
214.0736,197.443
215.0736,196.365
216.0736,199.321
217.0736,203.083
218.0736,205.901
219.0736,208.634
220.0736,213.087
221.0736,220.224
222.0736,226.194
223.0736,234.935
224.0736,247.14
225.0736,261.442
226.0736,270.96
227.0736,268.067
228.0736,262.616
229.0736,255.223
230.0736,246.624
231.0736,240.252
232.0736,236.629
233.0736,233.895
234.0736,234.242
235.0736,232.131
236.0736,231.049
237.0736,233.661
238.0736,236.457
239.0736,237.742
240.0736,241.02
241.0736,243.548
242.0736,249.179
243.0736,254.494
244.0736,258.68
245.0736,265.445
246.0736,264.948
247.0736,266.249
248.0736,262.923
249.0736,257.384
250.0736,254.826
251.0736,250.994
252.0736,246.268
253.0736,243.827
254.0736,243.116
255.0736,242.585
256.0736,242.229
257.0736,242.223
258.0736,241.186
259.0736,239.452
260.0736,241.975
261.0736,243.384
262.0736,244.633
263.0736,247.384
264.0736,243.848
265.0736,245.123
266.0736,246.792
267.0736,248.186
268.0736,248.436
269.0736,247.948
270.0736,249.877
271.0736,249.707
272.0736,252.231
273.0736,253.559
274.0736,251.871
275.0736,252.063
276.0736,255.24
277.0736,255.457
278.0736,256.944
279.0736,258.907
280.0736,261.09
281.0736,263.64
282.0736,266.62
283.0736,270.587
284.0736,273.212
285.0736,281.063
286.0736,286.461
287.0736,291.966
288.0736,304.85
289.0736,317.82
290.0736,327.29
291.0736,339.489
292.0736,352.748
293.0736,357.62
294.0736,355.097
295.0736,351.007
296.0736,341.006
297.0736,334.611
298.0736,329.226
299.0736,327.459
300.0736,327.417
301.0736,322.79
302.0736,315.344
303.0736,309.657
304.0736,305.29
305.0736,297.81
306.0736,291.027
307.0736,287.035
308.0736,282.798
309.0736,280.848
310.0736,279.217
311.0736,274.747
312.0736,270.474
313.0736,269.816
314.0736,269.396
315.0736,265.953
316.0736,265.808
317.0736,265.591
318.0736,265.116
319.0736,264.846
320.0736,263.759
321.0736,262.614
322.0736,263.355
323.0736,262.949
324.0736,262.227
325.0736,262.194
326.0736,262.154
327.0736,262.518
328.0736,263.943
329.0736,263.667
330.0736,261.664
331.0736,261.816
332.0736,261.769
333.0736,261.679
334.0736,262.422
335.0736,261.24
336.0736,262.099
337.0736,263.874
338.0736,264.273
339.0736,262.116
340.0736,260.59
341.0736,262.318
342.0736,263.267
343.0736,261.593
344.0736,262.84
345.0736,263.528
346.0736,262.675
347.0736,263.277
348.0736,264.87
349.0736,264.904
350.0736,264.183
351.0736,263.693
352.0736,265.672
353.0736,265.477
354.0736,264.201
355.0736,266.678
356.0736,264.582
357.0736,263.251
358.0736,265.441
359.0736,266.603
