Aug. 25, 2020   15:03:16
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_650_17.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 7.0680e-7
-0.480, 8.0211e-7
-0.470, 8.7759e-7
-0.460, 9.4089e-7
-0.450, 1.0257e-6
-0.440, 1.1031e-6
-0.430, 1.1857e-6
-0.420, 1.2992e-6
-0.410, 1.3935e-6
-0.400, 1.4798e-6
-0.390, 1.5736e-6
-0.380, 1.6701e-6
-0.370, 1.7547e-6
-0.360, 1.8357e-6
-0.350, 1.9109e-6
-0.340, 1.9929e-6
-0.330, 2.0492e-6
-0.320, 2.1710e-6
-0.310, 2.2262e-6
-0.300, 2.2833e-6
-0.290, 2.3641e-6
-0.280, 2.4152e-6
-0.270, 2.4405e-6
-0.260, 2.5315e-6
-0.250, 2.6390e-6
-0.240, 2.7644e-6
-0.230, 2.8117e-6
-0.220, 2.8979e-6
-0.210, 2.9237e-6
-0.200, 2.9951e-6
-0.190, 3.0135e-6
-0.180, 3.1096e-6
-0.170, 3.1597e-6
-0.160, 3.1752e-6
-0.150, 3.2548e-6
-0.140, 3.3506e-6
-0.130, 3.3604e-6
-0.120, 3.4499e-6
-0.110, 3.4698e-6
-0.100, 3.4968e-6
-0.090, 3.5307e-6
-0.080, 3.5025e-6
-0.070, 3.5555e-6
-0.060, 3.5796e-6
-0.050, 3.6298e-6
-0.040, 3.7000e-6
-0.030, 3.7476e-6
-0.020, 3.7863e-6
-0.010, 3.7631e-6
-0.000, 3.8598e-6
0.010, 3.8090e-6
0.020, 3.8426e-6
0.030, 3.9394e-6
0.040, 3.9238e-6
0.050, 3.9616e-6
0.060, 3.9943e-6
0.070, 4.0289e-6
0.080, 4.0430e-6
0.090, 4.0438e-6
0.100, 4.0564e-6
0.110, 4.0834e-6
0.120, 4.0977e-6
0.130, 4.1465e-6
0.140, 4.1584e-6
0.150, 4.1651e-6
0.160, 4.2012e-6
0.170, 4.2258e-6
0.180, 4.2430e-6
0.190, 4.2819e-6
0.200, 4.3067e-6
0.210, 4.3306e-6
0.220, 4.3574e-6
0.230, 4.3435e-6
0.240, 4.3474e-6
0.250, 4.3822e-6
0.260, 4.4267e-6
0.270, 4.4369e-6
0.280, 4.5678e-6
0.290, 4.5499e-6
0.300, 4.5442e-6
0.310, 4.5834e-6
0.320, 4.5843e-6
0.330, 4.6068e-6
0.340, 4.6216e-6
0.350, 4.6963e-6
0.360, 4.7697e-6
0.370, 4.8583e-6
0.380, 4.8604e-6
0.390, 4.8905e-6
0.400, 4.9242e-6
0.410, 5.0472e-6
0.420, 5.1003e-6
0.430, 5.1165e-6
0.440, 5.1738e-6
0.450, 5.2770e-6
0.460, 5.3054e-6
0.470, 5.4275e-6
0.480, 5.5926e-6
0.490, 5.7141e-6
0.500, 5.8911e-6
0.510, 6.0949e-6
0.520, 6.3180e-6
0.530, 6.6522e-6
0.540, 7.0590e-6
0.550, 7.5897e-6
0.560, 8.3345e-6
0.570, 9.2596e-6
0.580, 1.0485e-5
0.590, 1.2107e-5
0.600, 1.4373e-5
