出力日時,2021/06/09 14:35:51
データソース,VS1-4_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
12.772,9.500,-0.21,6E-06,4.21650000000014E-05
12.872,9.600,-0.209,6E-06,4.27750000000014E-05
12.972,9.700,-0.208,5E-06,4.33705000000014E-05
13.072,9.800,-0.207,6E-06,4.39680000000014E-05
13.172,9.900,-0.206,6E-06,4.45770000000015E-05
13.272,10.000,-0.205,6E-06,4.52060000000015E-05
13.372,10.100,-0.204,6E-06,4.58280000000016E-05
13.472,10.200,-0.203,7E-06,4.64805000000016E-05
13.572,10.300,-0.202,8E-06,4.70990000000016E-05
13.672,10.400,-0.201,7E-06,4.77585000000016E-05
13.772,10.500,-0.2,7E-06,4.84045000000017E-05
13.872,10.600,-0.199,8E-06,4.90600000000017E-05
13.972,10.700,-0.198,7E-06,4.97555000000017E-05
14.072,10.800,-0.197,8E-06,5.03870000000017E-05
14.172,10.900,-0.196,8E-06,5.10420000000017E-05
14.272,11.000,-0.195,7E-06,5.17515000000017E-05
14.372,11.100,-0.194,8E-06,5.24340000000018E-05
14.472,11.200,-0.193,7E-06,5.30875000000018E-05
14.572,11.300,-0.192,6E-06,5.37340000000018E-05
14.672,11.400,-0.191,6E-06,5.43920000000018E-05
14.772,11.500,-0.19,8E-06,5.50820000000018E-05
14.872,11.600,-0.189,8E-06,5.57970000000019E-05
14.972,11.700,-0.188,9E-06,5.65055000000019E-05
15.072,11.800,-0.187,8E-06,5.72310000000018E-05
15.172,11.900,-0.186,7E-06,5.79215000000019E-05
15.272,12.000,-0.185,7E-06,5.86175000000019E-05
15.372,12.100,-0.184,9E-06,5.93345000000019E-05
15.472,12.200,-0.183,7E-06,6.00315000000019E-05
15.572,12.300,-0.182,6E-06,6.07410000000019E-05
15.672,12.400,-0.181,6E-06,6.14530000000019E-05
15.772,12.500,-0.18,6E-06,6.21930000000018E-05
15.872,12.600,-0.179,9E-06,6.29045000000018E-05
15.972,12.700,-0.178,7E-06,6.36315000000018E-05
16.072,12.800,-0.177,7E-06,6.44015000000017E-05
16.172,12.900,-0.176,7E-06,6.51445000000017E-05
16.272,13.000,-0.175,8E-06,6.59110000000016E-05
16.372,13.100,-0.174,7E-06,6.66355000000016E-05
16.472,13.200,-0.173,7E-06,6.74035000000014E-05
16.572,13.300,-0.172,8E-06,6.81700000000013E-05
16.672,13.400,-0.171,9E-06,6.89255000000011E-05
16.772,13.500,-0.17,6E-06,6.96880000000011E-05
16.872,13.600,-0.169,8E-06,7.04880000000008E-05
16.972,13.700,-0.168,8E-06,7.12550000000006E-05
17.072,13.800,-0.167,8E-06,7.20280000000004E-05
17.172,13.900,-0.166,8E-06,7.28110000000002E-05
17.272,14.000,-0.165,8E-06,7.3568E-05
17.372,14.100,-0.164,8E-06,7.4383E-05
17.472,14.200,-0.163,8E-06,7.51619999999998E-05
17.572,14.300,-0.162,7E-06,7.59624999999997E-05
17.672,14.400,-0.161,8E-06,7.67859999999995E-05
17.772,14.500,-0.16,8E-06,7.75639999999994E-05
17.872,14.600,-0.159,7E-06,7.83604999999991E-05
17.972,14.700,-0.158,9E-06,7.91784999999989E-05
18.072,14.800,-0.157,8E-06,7.99999999999987E-05
18.172,14.900,-0.156,9E-06,8.08224999999984E-05
18.272,15.000,-0.155,9E-06,8.16594999999981E-05
18.372,15.100,-0.154,8E-06,8.25159999999979E-05
18.472,15.200,-0.153,7E-06,8.33584999999977E-05
18.572,15.300,-0.152,8E-06,8.41909999999975E-05
18.672,15.400,-0.151,9E-06,8.50324999999971E-05
18.772,15.500,-0.15,8E-06,8.5896999999997E-05
18.872,15.600,-0.149,8E-06,8.67169999999968E-05
18.972,15.700,-0.148,1.1E-05,8.75444999999964E-05
19.072,15.800,-0.147,9E-06,8.84214999999962E-05
19.172,15.900,-0.146,9E-06,8.9290499999996E-05
19.272,16.000,-0.145,7E-06,9.01254999999957E-05
19.372,16.100,-0.144,9E-06,9.10174999999955E-05
19.472,16.200,-0.143,8E-06,9.18989999999953E-05
19.572,16.300,-0.142,9E-06,9.2771499999995E-05
19.672,16.400,-0.141,9E-06,9.36244999999948E-05
19.772,16.500,-0.14,8E-06,9.44859999999945E-05
19.872,16.600,-0.139,9E-06,9.53754999999942E-05
19.972,16.700,-0.138,9E-06,9.6255499999994E-05
20.072,16.800,-0.137,9E-06,9.71624999999938E-05
20.172,16.900,-0.136,1E-05,9.80559999999936E-05
20.272,17.000,-0.135,8E-06,9.89349999999933E-05
20.372,17.100,-0.134,7E-06,9.97904999999931E-05
20.472,17.200,-0.133,9E-06,0.000100680499999993
20.572,17.300,-0.132,1E-05,0.000101590999999993
20.672,17.400,-0.131,8E-06,0.000102463999999993
20.772,17.500,-0.13,1E-05,0.000103345999999992
20.872,17.600,-0.129,9E-06,0.000104253499999992
20.972,17.700,-0.128,8E-06,0.000105174999999992
21.072,17.800,-0.127,9E-06,0.000106061499999992
21.172,17.900,-0.126,1E-05,0.000107001999999991
21.272,18.000,-0.125,1E-05,0.000107921999999991
21.372,18.100,-0.124,1E-05,0.000108836999999991
21.472,18.200,-0.123,1E-05,0.000109791999999991
21.572,18.300,-0.122,9E-06,0.000110730499999991
21.672,18.400,-0.121,9E-06,0.00011166349999999
21.772,18.500,-0.12,9E-06,0.00011260749999999
21.872,18.600,-0.119,9E-06,0.00011356549999999
21.972,18.700,-0.118,1E-05,0.00011452799999999
22.072,18.800,-0.117,1E-05,0.00011547599999999
22.172,18.900,-0.116,1.1E-05,0.00011643549999999
22.272,19.000,-0.115,1E-05,0.000117400999999989
22.372,19.100,-0.114,1.1E-05,0.000118329499999989
22.472,19.200,-0.113,1.1E-05,0.000119301499999989
22.572,19.300,-0.112,1.2E-05,0.000120268999999989
22.672,19.400,-0.111,9E-06,0.000121256499999989
22.772,19.500,-0.11,1.1E-05,0.000122214499999989
22.872,19.600,-0.109,1E-05,0.000123161999999989
22.972,19.700,-0.108,1.1E-05,0.000124170499999989
23.072,19.800,-0.107,1.1E-05,0.000125156499999989
23.172,19.900,-0.106,1E-05,0.000126111999999989
23.272,20.000,-0.105,1E-05,0.000127094999999989
23.372,20.100,-0.104,1.2E-05,0.000128060999999989
23.472,20.200,-0.103,1.1E-05,0.000129063499999989
23.572,20.300,-0.102,1E-05,0.000130055999999989
23.672,20.400,-0.101,9E-06,0.000131038499999989
23.772,20.500,-0.1,1E-05,0.00013204299999999
23.872,20.600,-0.099,1E-05,0.00013306999999999
23.972,20.700,-0.098,1E-05,0.00013409899999999
24.072,20.800,-0.097,1E-05,0.00013512699999999
24.172,20.900,-0.096,1.1E-05,0.00013612249999999
24.272,21.000,-0.095,1E-05,0.00013713799999999
24.372,21.100,-0.094,1.1E-05,0.00013813749999999
24.472,21.200,-0.093,1.1E-05,0.00013917849999999
24.572,21.300,-0.092,1.1E-05,0.00014023949999999
24.672,21.400,-0.091,1E-05,0.00014129199999999
24.772,21.500,-0.09,1.1E-05,0.00014232749999999
24.872,21.600,-0.089,1.2E-05,0.000143375999999991
24.972,21.700,-0.088,1E-05,0.000144432999999991
25.072,21.800,-0.087,1E-05,0.000145480999999991
25.172,21.900,-0.086,1.2E-05,0.000146583999999991
25.272,22.000,-0.085,1.1E-05,0.000147668499999991
25.372,22.100,-0.084,9E-06,0.000148720499999991
25.472,22.200,-0.083,1.2E-05,0.000149804999999991
25.572,22.300,-0.082,9E-06,0.000150899499999992
25.672,22.400,-0.081,1E-05,0.000151926999999992
25.772,22.500,-0.08,1E-05,0.000153020999999992
25.872,22.600,-0.079,1.1E-05,0.000154093499999992
25.972,22.700,-0.078,1E-05,0.000155171999999992
26.072,22.800,-0.077,1.1E-05,0.000156265499999992
26.172,22.900,-0.076,1E-05,0.000157352999999993
26.272,23.000,-0.075,1E-05,0.000158433999999993
26.372,23.100,-0.074,9E-06,0.000159534499999993
26.472,23.200,-0.073,1E-05,0.000160580999999993
26.572,23.300,-0.072,1E-05,0.000161703999999993
26.672,23.400,-0.071,1.1E-05,0.000162776499999993
26.772,23.500,-0.07,1.2E-05,0.000163878999999994
26.872,23.600,-0.069,1E-05,0.000164964999999994
26.972,23.700,-0.068,1.1E-05,0.000166071499999994
27.072,23.800,-0.067,1.1E-05,0.000167216499999994
27.172,23.900,-0.066,1.1E-05,0.000168309499999994
27.272,24.000,-0.065,1.1E-05,0.000169448499999995
27.372,24.100,-0.064,1.2E-05,0.000170521999999995
27.472,24.200,-0.063,1.3E-05,0.000171608499999995
27.572,24.300,-0.062,1.1E-05,0.000172734499999995
27.672,24.400,-0.061,1.1E-05,0.000173854499999995
27.772,24.500,-0.06,1.1E-05,0.000175018499999995
27.872,24.600,-0.059,1.1E-05,0.000176094499999995
27.972,24.700,-0.058,1.2E-05,0.000177178999999996
28.072,24.800,-0.057,1.1E-05,0.000178292499999996
28.172,24.900,-0.056,1.2E-05,0.000179414999999996
28.272,25.000,-0.055,1.2E-05,0.000180519999999996
28.372,25.100,-0.054,1.2E-05,0.000181658999999996
28.472,25.200,-0.053,1.1E-05,0.000182766499999997
28.572,25.300,-0.052,1.2E-05,0.000183854999999997
28.672,25.400,-0.051,1.1E-05,0.000185001499999997
28.772,25.500,-0.05,1.2E-05,0.000186162999999997
28.872,25.600,-0.049,1.1E-05,0.000187296499999997
28.972,25.700,-0.048,1E-05,0.000188431999999998
29.072,25.800,-0.047,1.1E-05,0.000189576499999998
29.172,25.900,-0.046,1.3E-05,0.000190735499999998
29.272,26.000,-0.045,1.3E-05,0.000191921499999998
