出力日時,2021/06/07 16:14:01
データソース,Nss1_1_1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
12.749,9.500,-0.139,7E-06,4.98514999999998E-05
12.849,9.600,-0.138,7E-06,5.05404999999998E-05
12.949,9.700,-0.137,7E-06,5.12784999999999E-05
13.049,9.800,-0.136,8E-06,5.19789999999999E-05
13.149,9.900,-0.135,7E-06,5.26864999999999E-05
13.249,10.000,-0.134,7E-06,5.33854999999999E-05
13.349,10.100,-0.133,9E-06,5.40834999999999E-05
13.449,10.200,-0.132,7E-06,5.48164999999999E-05
13.549,10.300,-0.131,8E-06,5.55269999999999E-05
13.649,10.400,-0.13,7E-06,5.62474999999999E-05
13.749,10.500,-0.129,9E-06,5.69654999999999E-05
13.849,10.600,-0.128,6E-06,5.76819999999999E-05
13.949,10.700,-0.127,7E-06,5.83935E-05
14.049,10.800,-0.126,7E-06,5.91195E-05
14.149,10.900,-0.125,7E-06,5.98495E-05
14.249,11.000,-0.124,9E-06,6.05515E-05
14.349,11.100,-0.123,8E-06,6.1268E-05
14.449,11.200,-0.122,8E-06,6.1977E-05
14.549,11.300,-0.121,7E-06,6.27154999999999E-05
14.649,11.400,-0.12,9E-06,6.34334999999999E-05
14.749,11.500,-0.119,8E-06,6.41579999999999E-05
14.849,11.600,-0.118,9E-06,6.48854999999998E-05
14.949,11.700,-0.117,7E-06,6.56214999999998E-05
15.049,11.800,-0.116,7E-06,6.63624999999997E-05
15.149,11.900,-0.115,6E-06,6.70619999999998E-05
15.249,12.000,-0.114,6E-06,6.77839999999998E-05
15.349,12.100,-0.113,8E-06,6.85169999999998E-05
15.449,12.200,-0.112,7E-06,6.92334999999997E-05
15.549,12.300,-0.111,7E-06,6.99444999999998E-05
15.649,12.400,-0.11,7E-06,7.06544999999998E-05
15.749,12.500,-0.109,6E-06,7.13599999999999E-05
15.849,12.600,-0.108,8E-06,7.20509999999999E-05
15.949,12.700,-0.107,8E-06,7.27939999999999E-05
16.049,12.800,-0.106,7E-06,7.35024999999999E-05
16.149,12.900,-0.105,7E-06,7.41955E-05
16.249,13.000,-0.104,8E-06,7.49159999999999E-05
16.349,13.100,-0.103,7E-06,7.56214999999999E-05
16.449,13.200,-0.102,7E-06,7.63614999999998E-05
16.549,13.300,-0.101,8E-06,7.70839999999998E-05
16.649,13.400,-0.1,7E-06,7.77854999999998E-05
16.749,13.500,-0.099,8E-06,7.847E-05
16.849,13.600,-0.098,8E-06,7.9154E-05
16.949,13.700,-0.097,7E-06,7.98395000000001E-05
17.049,13.800,-0.096,7E-06,8.05435000000001E-05
17.149,13.900,-0.095,8E-06,8.12720000000001E-05
17.249,14.000,-0.094,6E-06,8.19780000000001E-05
17.349,14.100,-0.093,7E-06,8.26925E-05
17.449,14.200,-0.092,6E-06,8.3406E-05
17.549,14.300,-0.091,8E-06,8.41489999999999E-05
17.649,14.400,-0.09,8E-06,8.48619999999999E-05
17.749,14.500,-0.089,7E-06,8.55534999999999E-05
17.849,14.600,-0.088,8E-06,8.62869999999999E-05
17.949,14.700,-0.087,7E-06,8.70204999999999E-05
18.049,14.800,-0.086,7E-06,8.77604999999998E-05
18.149,14.900,-0.085,7E-06,8.84544999999998E-05
18.249,15.000,-0.084,7E-06,8.91784999999998E-05
18.349,15.100,-0.083,8E-06,8.98659999999998E-05
18.449,15.200,-0.082,6E-06,9.05509999999999E-05
18.549,15.300,-0.081,7E-06,9.12484999999999E-05
18.649,15.400,-0.08,7E-06,9.19734999999999E-05
18.749,15.500,-0.079,7E-06,9.26954999999998E-05
18.849,15.600,-0.078,7E-06,9.33734999999999E-05
