Aug. 25, 2020   12:24:05
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_700_13.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 3.4134e-7
-0.480, 4.1109e-7
-0.470, 4.4811e-7
-0.460, 4.9039e-7
-0.450, 5.2765e-7
-0.440, 5.7017e-7
-0.430, 6.2678e-7
-0.420, 6.7480e-7
-0.410, 7.2209e-7
-0.400, 7.8228e-7
-0.390, 8.5132e-7
-0.380, 9.1462e-7
-0.370, 9.6024e-7
-0.360, 1.0314e-6
-0.350, 1.1033e-6
-0.340, 1.1900e-6
-0.330, 1.2626e-6
-0.320, 1.3400e-6
-0.310, 1.4277e-6
-0.300, 1.5734e-6
-0.290, 1.6907e-6
-0.280, 1.8142e-6
-0.270, 1.9718e-6
-0.260, 2.1140e-6
-0.250, 2.3015e-6
-0.240, 2.5284e-6
-0.230, 2.8050e-6
-0.220, 3.1294e-6
-0.210, 3.4578e-6
-0.200, 3.8892e-6
-0.190, 4.3368e-6
-0.180, 4.8420e-6
-0.170, 5.4569e-6
-0.160, 6.1367e-6
-0.150, 6.8628e-6
-0.140, 7.7734e-6
-0.130, 8.6761e-6
-0.120, 9.6552e-6
-0.110, 1.0776e-5
-0.100, 1.2009e-5
-0.090, 1.3334e-5
-0.080, 1.4756e-5
-0.070, 1.6174e-5
-0.060, 1.7895e-5
-0.050, 1.9595e-5
-0.040, 2.1356e-5
-0.030, 2.3200e-5
-0.020, 2.5113e-5
-0.010, 2.7061e-5
-0.000, 2.9004e-5
0.010, 3.0990e-5
0.020, 3.2977e-5
0.030, 3.4904e-5
0.040, 3.6881e-5
0.050, 3.8723e-5
0.060, 4.0546e-5
0.070, 4.2296e-5
0.080, 4.4034e-5
0.090, 4.5595e-5
0.100, 4.7158e-5
0.110, 4.8634e-5
0.120, 5.0082e-5
0.130, 5.1339e-5
0.140, 5.2584e-5
0.150, 5.3792e-5
0.160, 5.4895e-5
0.170, 5.5898e-5
0.180, 5.6921e-5
0.190, 5.7807e-5
0.200, 5.8684e-5
0.210, 5.9535e-5
0.220, 6.0385e-5
0.230, 6.1253e-5
0.240, 6.1939e-5
0.250, 6.2686e-5
0.260, 6.3450e-5
0.270, 6.4137e-5
0.280, 6.4828e-5
0.290, 6.5449e-5
0.300, 6.6144e-5
0.310, 6.6734e-5
0.320, 6.7367e-5
0.330, 6.8001e-5
0.340, 6.8540e-5
0.350, 6.9244e-5
0.360, 6.9784e-5
0.370, 7.0388e-5
0.380, 7.1113e-5
0.390, 7.1750e-5
0.400, 7.2310e-5
0.410, 7.3010e-5
0.420, 7.3679e-5
0.430, 7.4204e-5
0.440, 7.4900e-5
0.450, 7.5683e-5
0.460, 7.6455e-5
0.470, 7.7167e-5
0.480, 7.7926e-5
0.490, 7.8823e-5
0.500, 7.9641e-5
0.510, 8.0515e-5
0.520, 8.1437e-5
0.530, 8.2658e-5
0.540, 8.3752e-5
0.550, 8.5006e-5
0.560, 8.6423e-5
0.570, 8.8194e-5
0.580, 9.0115e-5
0.590, 9.2432e-5
0.600, 9.5095e-5
