Date	2020年11月24日火曜日 04時28分43秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.642524
200.422	0.692533
200.796	0.723973
201.171	0.661743
201.546	0.621368
201.921	0.597037
202.296	0.613951
202.671	0.619799
203.045	0.650853
203.420	0.698144
203.795	0.670823
204.170	0.632217
204.544	0.654511
204.919	0.628927
205.294	0.646266
205.668	0.679318
206.043	0.738094
206.417	0.782210
206.792	0.746107
207.166	0.706609
207.541	0.651143
207.915	0.701887
208.289	0.726894
208.664	0.655248
209.038	0.672662
209.412	0.668936
209.787	0.710478
210.161	0.728724
210.535	0.647750
210.909	0.721595
211.284	0.759307
211.658	0.764931
212.032	0.731129
212.406	0.831605
212.780	0.948054
213.154	0.948055
213.528	0.861144
213.902	0.790085
214.276	0.743481
214.650	0.815545
215.024	0.826670
215.398	0.785081
215.772	0.873011
216.145	0.904265
216.519	0.852545
216.893	0.910408
217.267	0.892855
217.640	1.047889
218.014	1.077909
218.388	1.167510
218.761	1.168878
219.135	1.094989
219.508	1.067155
219.882	1.006854
220.256	0.974823
220.629	0.952796
221.003	0.800164
221.376	0.830318
221.749	0.767999
222.123	0.704251
222.496	0.679010
222.869	0.659480
223.243	0.603861
223.616	0.582339
223.989	0.559675
224.362	0.566773
224.736	0.558859
225.109	0.612667
225.482	0.591838
225.855	0.604666
226.228	0.644785
226.601	0.640517
226.974	0.659895
227.347	0.678274
227.720	0.680129
228.093	0.658512
228.466	0.650833
228.839	0.651334
229.212	0.633530
229.585	0.639879
229.957	0.630481
230.330	0.614064
230.703	0.594953
231.076	0.572008
231.448	0.561754
231.821	0.570776
232.194	0.568078
232.566	0.571217
232.939	0.566304
233.311	0.554394
233.684	0.567619
234.056	0.604014
234.429	0.628798
234.801	0.627718
235.174	0.646854
235.546	0.692130
235.918	0.725527
236.291	0.721459
236.663	0.723641
237.035	0.725396
237.408	0.716304
237.780	0.706667
238.152	0.682384
