Date	2020年11月24日火曜日 06時31分44秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.425846
200.422	0.478099
200.796	0.510457
201.171	0.529956
201.546	0.472458
201.921	0.456202
202.296	0.442529
202.671	0.449943
203.045	0.474144
203.420	0.493840
203.795	0.528710
204.170	0.532932
204.544	0.509692
204.919	0.497271
205.294	0.483060
205.668	0.491967
206.043	0.521497
206.417	0.536849
206.792	0.528555
207.166	0.520225
207.541	0.501016
207.915	0.469486
208.289	0.465490
208.664	0.460500
209.038	0.480228
209.412	0.491171
209.787	0.495991
210.161	0.468303
210.535	0.453558
210.909	0.451912
211.284	0.456268
211.658	0.421756
212.032	0.437492
212.406	0.440303
212.780	0.442321
213.154	0.441623
213.528	0.428339
213.902	0.437437
214.276	0.464769
214.650	0.496713
215.024	0.467078
215.398	0.456277
215.772	0.484796
216.145	0.492423
216.519	0.508554
216.893	0.485128
217.267	0.450400
217.640	0.466180
218.014	0.482533
218.388	0.473653
218.761	0.449372
219.135	0.483678
219.508	0.460552
219.882	0.484965
220.256	0.482406
220.629	0.464434
221.003	0.478848
221.376	0.514738
221.749	0.503638
222.123	0.515300
222.496	0.502275
222.869	0.501288
223.243	0.515707
223.616	0.531194
223.989	0.495489
224.362	0.481797
224.736	0.483488
225.109	0.476986
225.482	0.485988
225.855	0.479285
226.228	0.467063
226.601	0.498585
226.974	0.512274
227.347	0.483798
227.720	0.488952
228.093	0.502805
228.466	0.501791
228.839	0.492659
229.212	0.493222
229.585	0.470889
229.957	0.482704
230.330	0.476686
230.703	0.467828
231.076	0.439092
231.448	0.467224
231.821	0.501991
232.194	0.478244
232.566	0.472538
232.939	0.483178
233.311	0.475947
233.684	0.484375
234.056	0.466665
234.429	0.475037
234.801	0.478524
235.174	0.482057
235.546	0.455608
235.918	0.427193
236.291	0.457769
236.663	0.464667
237.035	0.445196
237.408	0.452571
237.780	0.444243
238.152	0.462318
