Sept. 29, 2020   14:51:00
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_650_14.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.1986e+1, -8.9282e+0, 1.4946e+1, -36.7
8.1055e+3, 1.2287e+1, -9.3829e+0, 1.5460e+1, -37.4
6.6406e+3, 1.2531e+1, -1.0615e+1, 1.6423e+1, -40.3
5.4687e+3, 1.2830e+1, -1.2195e+1, 1.7701e+1, -43.5
4.5898e+3, 1.3076e+1, -1.4116e+1, 1.9242e+1, -47.2
3.7109e+3, 1.3334e+1, -1.6458e+1, 2.1182e+1, -51.0
3.1250e+3, 1.3809e+1, -1.9386e+1, 2.3801e+1, -54.5
2.5391e+3, 1.4677e+1, -2.2807e+1, 2.7122e+1, -57.2
2.1484e+3, 1.5257e+1, -2.6914e+1, 3.0938e+1, -60.5
1.7578e+3, 1.5151e+1, -3.2234e+1, 3.5617e+1, -64.8
1.4648e+3, 1.5535e+1, -3.8741e+1, 4.1739e+1, -68.1
1.1719e+3, 1.6714e+1, -4.6569e+1, 4.9478e+1, -70.3
9.6680e+2, 1.8719e+1, -5.5886e+1, 5.8938e+1, -71.5
8.1055e+2, 2.0843e+1, -6.6512e+1, 6.9701e+1, -72.6
6.6406e+2, 2.2371e+1, -7.9408e+1, 8.2499e+1, -74.3
5.4688e+2, 2.6616e+1, -9.4688e+1, 9.8358e+1, -74.3
4.5898e+2, 3.1119e+1, -1.1476e+2, 1.1890e+2, -74.8
3.7109e+2, 3.3873e+1, -1.3791e+2, 1.4201e+2, -76.2
3.1250e+2, 3.7745e+1, -1.6267e+2, 1.6699e+2, -76.9
2.5391e+2, 4.4250e+1, -1.9820e+2, 2.0308e+2, -77.4
2.1484e+2, 4.7630e+1, -2.3199e+2, 2.3683e+2, -78.4
1.7578e+2, 5.4813e+1, -2.6276e+2, 2.6841e+2, -78.2
1.4648e+2, 8.2355e+1, -3.0293e+2, 3.1392e+2, -74.8
1.1719e+2, 1.2290e+2, -3.5398e+2, 3.7471e+2, -70.9
9.7656e+1, 1.7080e+2, -4.1526e+2, 4.4901e+2, -67.6
8.1380e+1, 2.2369e+2, -4.7614e+2, 5.2606e+2, -64.8
6.9754e+1, 2.8864e+2, -5.3174e+2, 6.0503e+2, -61.5
5.7445e+1, 3.6114e+2, -5.9208e+2, 6.9353e+2, -58.6
4.6503e+1, 4.4082e+2, -6.5096e+2, 7.8618e+2, -55.9
3.7560e+1, 5.3522e+2, -7.0977e+2, 8.8896e+2, -53.0
3.1502e+1, 6.3091e+2, -7.5405e+2, 9.8318e+2, -50.1
2.5699e+1, 7.2790e+2, -7.9464e+2, 1.0776e+3, -47.5
2.1230e+1, 8.2105e+2, -8.6957e+2, 1.1959e+3, -46.6
1.7439e+1, 9.0188e+2, -9.3292e+2, 1.2976e+3, -46.0
1.4361e+1, 9.9807e+2, -9.7429e+2, 1.3948e+3, -44.3
1.1909e+1, 1.0345e+3, -1.0522e+3, 1.4755e+3, -45.5
9.7656e+0, 1.0640e+3, -1.1356e+3, 1.5562e+3, -46.9
8.0708e+0, 1.1919e+3, -1.2128e+3, 1.7005e+3, -45.5
6.6433e+0, 1.3513e+3, -1.3115e+3, 1.8831e+3, -44.1
5.4863e+0, 1.5154e+3, -1.4282e+3, 2.0824e+3, -43.3
4.5422e+0, 1.6312e+3, -1.5627e+3, 2.2589e+3, -43.8
3.7416e+0, 1.6957e+3, -1.7633e+3, 2.4463e+3, -46.1
3.0904e+0, 1.7781e+3, -2.0102e+3, 2.6838e+3, -48.5
2.5498e+0, 1.8941e+3, -2.2962e+3, 2.9766e+3, -50.5
2.1047e+0, 1.9604e+3, -2.7219e+3, 3.3544e+3, -54.2
1.7377e+0, 2.0302e+3, -3.2278e+3, 3.8132e+3, -57.8
1.4340e+0, 2.2470e+3, -3.7227e+3, 4.3482e+3, -58.9
1.1837e+0, 2.4953e+3, -4.2478e+3, 4.9265e+3, -59.6
9.7656e-1, 2.7762e+3, -4.9291e+3, 5.6572e+3, -60.6
8.0708e-1, 3.0444e+3, -5.8009e+3, 6.5512e+3, -62.3
6.6433e-1, 3.4261e+3, -6.9609e+3, 7.7584e+3, -63.8
5.4863e-1, 4.0278e+3, -8.3228e+3, 9.2462e+3, -64.2
4.5422e-1, 4.6814e+3, -9.9107e+3, 1.0961e+4, -64.7
3.7416e-1, 5.2449e+3, -1.1757e+4, 1.2874e+4, -66.0
3.0904e-1, 6.1547e+3, -1.4012e+4, 1.5304e+4, -66.3
2.5498e-1, 7.5851e+3, -1.6730e+4, 1.8370e+4, -65.6
2.1047e-1, 9.0191e+3, -1.9854e+4, 2.1806e+4, -65.6
1.7377e-1, 1.1261e+4, -2.3577e+4, 2.6129e+4, -64.5
1.4340e-1, 1.4171e+4, -2.7292e+4, 3.0752e+4, -62.6
1.1837e-1, 1.7997e+4, -3.0539e+4, 3.5447e+4, -59.5
9.7656e-2, 2.3594e+4, -3.3784e+4, 4.1207e+4, -55.1
8.0708e-2, 2.9717e+4, -3.7326e+4, 4.7711e+4, -51.5
6.6433e-2, 3.4768e+4, -4.0109e+4, 5.3080e+4, -49.1
5.4863e-2, 4.1672e+4, -4.2201e+4, 5.9308e+4, -45.4
4.5422e-2, 5.1002e+4, -4.4151e+4, 6.7457e+4, -40.9
3.7416e-2, 5.9842e+4, -4.3826e+4, 7.4174e+4, -36.2
3.0904e-2, 6.8344e+4, -4.3089e+4, 8.0793e+4, -32.2
2.5498e-2, 7.6331e+4, -4.1769e+4, 8.7012e+4, -28.7
2.1047e-2, 8.5014e+4, -3.8498e+4, 9.3325e+4, -24.4
1.7377e-2, 9.3227e+4, -3.6151e+4, 9.9991e+4, -21.2
1.4340e-2, 1.0077e+5, -3.3447e+4, 1.0618e+5, -18.4
1.1837e-2, 1.0631e+5, -2.9518e+4, 1.1033e+5, -15.5
