Sept. 29, 2020   15:50:11
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_750_14.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 3.0569e+1, -1.0501e+1, 3.2322e+1, -19.0
8.1055e+3, 3.0523e+1, -1.2369e+1, 3.2934e+1, -22.1
6.6406e+3, 3.0212e+1, -1.4325e+1, 3.3436e+1, -25.4
5.4687e+3, 3.1522e+1, -1.5348e+1, 3.5060e+1, -26.0
4.5898e+3, 3.2476e+1, -1.7294e+1, 3.6794e+1, -28.0
3.7109e+3, 3.4025e+1, -1.9546e+1, 3.9240e+1, -29.9
3.1250e+3, 3.5091e+1, -2.2818e+1, 4.1857e+1, -33.0
2.5391e+3, 3.5907e+1, -2.6805e+1, 4.4809e+1, -36.7
2.1484e+3, 3.7225e+1, -3.1907e+1, 4.9028e+1, -40.6
1.7578e+3, 3.9071e+1, -3.7550e+1, 5.4190e+1, -43.9
1.4648e+3, 4.1201e+1, -4.2637e+1, 5.9291e+1, -46.0
1.1719e+3, 4.4586e+1, -4.9295e+1, 6.6468e+1, -47.9
9.6680e+2, 4.9902e+1, -5.8149e+1, 7.6626e+1, -49.4
8.1055e+2, 5.4861e+1, -6.7662e+1, 8.7108e+1, -51.0
6.6406e+2, 6.1361e+1, -7.8850e+1, 9.9912e+1, -52.1
5.4688e+2, 7.0038e+1, -9.1404e+1, 1.1515e+2, -52.5
4.5898e+2, 8.0445e+1, -1.0329e+2, 1.3092e+2, -52.1
3.7109e+2, 9.3113e+1, -1.1657e+2, 1.4920e+2, -51.4
3.1250e+2, 1.0984e+2, -1.2999e+2, 1.7019e+2, -49.8
2.5391e+2, 1.3019e+2, -1.4306e+2, 1.9344e+2, -47.7
2.1484e+2, 1.4681e+2, -1.5376e+2, 2.1259e+2, -46.3
1.7578e+2, 1.6412e+2, -1.6415e+2, 2.3212e+2, -45.0
1.4648e+2, 1.9411e+2, -1.7360e+2, 2.6042e+2, -41.8
1.1719e+2, 2.2455e+2, -1.7958e+2, 2.8753e+2, -38.7
9.7656e+1, 2.4830e+2, -1.8344e+2, 3.0871e+2, -36.5
8.1380e+1, 2.6586e+2, -1.7956e+2, 3.2082e+2, -34.0
6.9754e+1, 2.7312e+2, -1.7901e+2, 3.2655e+2, -33.2
5.7445e+1, 2.8404e+2, -1.8944e+2, 3.4142e+2, -33.7
4.6503e+1, 3.0111e+2, -2.0513e+2, 3.6434e+2, -34.3
3.7560e+1, 3.2265e+2, -2.2047e+2, 3.9078e+2, -34.3
3.1502e+1, 3.4117e+2, -2.4337e+2, 4.1908e+2, -35.5
2.5699e+1, 3.5499e+2, -2.6965e+2, 4.4579e+2, -37.2
2.1230e+1, 3.7200e+2, -2.9320e+2, 4.7366e+2, -38.2
1.7439e+1, 3.8941e+2, -3.2185e+2, 5.0520e+2, -39.6
1.4361e+1, 4.0682e+2, -3.6234e+2, 5.4479e+2, -41.7
1.1909e+1, 4.2939e+2, -4.0804e+2, 5.9234e+2, -43.5
9.7656e+0, 4.5853e+2, -4.5565e+2, 6.4642e+2, -44.8
8.0708e+0, 4.9981e+2, -5.3186e+2, 7.2985e+2, -46.8
6.6433e+0, 5.4562e+2, -6.2967e+2, 8.3317e+2, -49.1
5.4863e+0, 5.8983e+2, -7.4337e+2, 9.4895e+2, -51.6
4.5422e+0, 6.3294e+2, -8.6066e+2, 1.0683e+3, -53.7
3.7416e+0, 6.9885e+2, -9.8354e+2, 1.2065e+3, -54.6
3.0904e+0, 7.9065e+2, -1.1280e+3, 1.3775e+3, -55.0
2.5498e+0, 9.1657e+2, -1.2643e+3, 1.5616e+3, -54.1
2.1047e+0, 1.1107e+3, -1.4344e+3, 1.8142e+3, -52.2
1.7377e+0, 1.3419e+3, -1.6353e+3, 2.1154e+3, -50.6
1.4340e+0, 1.6015e+3, -1.8457e+3, 2.4436e+3, -49.1
1.1837e+0, 1.8973e+3, -2.0288e+3, 2.7778e+3, -46.9
9.7656e-1, 2.2482e+3, -2.1834e+3, 3.1339e+3, -44.2
8.0708e-1, 2.6170e+3, -2.3821e+3, 3.5388e+3, -42.3
6.6433e-1, 3.0130e+3, -2.5289e+3, 3.9336e+3, -40.0
5.4863e-1, 3.4397e+3, -2.5363e+3, 4.2737e+3, -36.4
4.5422e-1, 3.9075e+3, -2.3441e+3, 4.5567e+3, -31.0
3.7416e-1, 4.3412e+3, -2.1804e+3, 4.8580e+3, -26.7
3.0904e-1, 4.6617e+3, -2.0139e+3, 5.0781e+3, -23.4
2.5498e-1, 4.9335e+3, -1.7467e+3, 5.2335e+3, -19.5
2.1047e-1, 5.1467e+3, -1.5632e+3, 5.3788e+3, -16.9
1.7377e-1, 5.3827e+3, -1.4572e+3, 5.5764e+3, -15.1
1.4340e-1, 5.6054e+3, -1.3208e+3, 5.7589e+3, -13.3
1.1837e-1, 5.7280e+3, -1.1241e+3, 5.8373e+3, -11.1
9.7656e-2, 5.8171e+3, -1.0667e+3, 5.9141e+3, -10.4
8.0708e-2, 5.8849e+3, -9.6848e+2, 5.9641e+3, -9.3
6.6433e-2, 5.9157e+3, -7.2242e+2, 5.9596e+3, -7.0
