Sept. 4, 2020   14:53:46
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_650_12_2.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.3356e+1, -8.7016e+0, 1.5941e+1, -33.1
8.1055e+3, 1.3862e+1, -1.0012e+1, 1.7100e+1, -35.8
6.6406e+3, 1.3909e+1, -1.0522e+1, 1.7440e+1, -37.1
5.4687e+3, 1.4281e+1, -1.2061e+1, 1.8693e+1, -40.2
4.5898e+3, 1.4558e+1, -1.3518e+1, 1.9866e+1, -42.9
3.7109e+3, 1.4842e+1, -1.5850e+1, 2.1715e+1, -46.9
3.1250e+3, 1.4870e+1, -1.8657e+1, 2.3858e+1, -51.4
2.5391e+3, 1.5381e+1, -2.2159e+1, 2.6974e+1, -55.2
2.1484e+3, 1.5722e+1, -2.6754e+1, 3.1031e+1, -59.6
1.7578e+3, 1.6126e+1, -3.2108e+1, 3.5930e+1, -63.3
1.4648e+3, 1.7473e+1, -3.8277e+1, 4.2077e+1, -65.5
1.1719e+3, 1.8489e+1, -4.5694e+1, 4.9293e+1, -68.0
9.6680e+2, 2.0090e+1, -5.5313e+1, 5.8849e+1, -70.0
8.1055e+2, 2.2375e+1, -6.8137e+1, 7.1716e+1, -71.8
6.6406e+2, 2.3808e+1, -8.2353e+1, 8.5726e+1, -73.9
5.4688e+2, 2.5223e+1, -9.5620e+1, 9.8891e+1, -75.2
4.5898e+2, 2.9131e+1, -1.1141e+2, 1.1515e+2, -75.3
3.7109e+2, 3.6421e+1, -1.3626e+2, 1.4104e+2, -75.0
3.1250e+2, 4.4132e+1, -1.6899e+2, 1.7465e+2, -75.4
2.5391e+2, 5.3867e+1, -2.0692e+2, 2.1381e+2, -75.4
2.1484e+2, 7.0083e+1, -2.3844e+2, 2.4852e+2, -73.6
1.7578e+2, 9.5564e+1, -2.7159e+2, 2.8791e+2, -70.6
1.4648e+2, 1.1924e+2, -3.1706e+2, 3.3874e+2, -69.4
1.1719e+2, 1.3286e+2, -3.8449e+2, 4.0680e+2, -70.9
9.7656e+1, 1.5365e+2, -4.6267e+2, 4.8751e+2, -71.6
8.1380e+1, 1.6831e+2, -5.1783e+2, 5.4450e+2, -72.0
6.9754e+1, 1.7419e+2, -5.8534e+2, 6.1071e+2, -73.4
5.7445e+1, 2.3013e+2, -6.7748e+2, 7.1550e+2, -71.2
4.6503e+1, 3.4000e+2, -7.7827e+2, 8.4929e+2, -66.4
3.7560e+1, 4.3807e+2, -8.7887e+2, 9.8200e+2, -63.5
3.1502e+1, 5.3920e+2, -9.7206e+2, 1.1116e+3, -61.0
2.5699e+1, 6.6035e+2, -1.0606e+3, 1.2494e+3, -58.1
2.1230e+1, 7.9867e+2, -1.1498e+3, 1.4000e+3, -55.2
1.7439e+1, 9.4983e+2, -1.2479e+3, 1.5682e+3, -52.7
1.4361e+1, 1.0895e+3, -1.3532e+3, 1.7373e+3, -51.2
1.1909e+1, 1.2380e+3, -1.4617e+3, 1.9155e+3, -49.7
9.7656e+0, 1.3824e+3, -1.5773e+3, 2.0974e+3, -48.8
8.0708e+0, 1.5157e+3, -1.7064e+3, 2.2823e+3, -48.4
6.6433e+0, 1.6514e+3, -1.8612e+3, 2.4882e+3, -48.4
5.4863e+0, 1.7759e+3, -2.0482e+3, 2.7109e+3, -49.1
4.5422e+0, 1.8970e+3, -2.2817e+3, 2.9673e+3, -50.3
3.7416e+0, 2.0372e+3, -2.5644e+3, 3.2751e+3, -51.5
3.0904e+0, 2.1875e+3, -2.8998e+3, 3.6324e+3, -53.0
2.5498e+0, 2.3397e+3, -3.3085e+3, 4.0522e+3, -54.7
2.1047e+0, 2.5044e+3, -3.8031e+3, 4.5536e+3, -56.6
1.7377e+0, 2.6750e+3, -4.3965e+3, 5.1464e+3, -58.7
1.4340e+0, 2.8605e+3, -5.0998e+3, 5.8473e+3, -60.7
1.1837e+0, 3.0767e+3, -5.9588e+3, 6.7062e+3, -62.7
9.7656e-1, 3.3239e+3, -6.9592e+3, 7.7123e+3, -64.5
8.0708e-1, 3.6832e+3, -8.1268e+3, 8.9225e+3, -65.6
6.6433e-1, 4.0648e+3, -9.5736e+3, 1.0401e+4, -67.0
5.4863e-1, 4.5204e+3, -1.1323e+4, 1.2192e+4, -68.2
4.5422e-1, 5.1042e+3, -1.3279e+4, 1.4226e+4, -69.0
3.7416e-1, 5.7268e+3, -1.5639e+4, 1.6655e+4, -69.9
3.0904e-1, 6.5456e+3, -1.8510e+4, 1.9633e+4, -70.5
2.5498e-1, 7.6413e+3, -2.1903e+4, 2.3197e+4, -70.8
2.1047e-1, 9.5738e+3, -2.5875e+4, 2.7589e+4, -69.7
1.7377e-1, 1.1904e+4, -3.0759e+4, 3.2983e+4, -68.8
1.4340e-1, 1.4312e+4, -3.7583e+4, 4.0216e+4, -69.2
1.1837e-1, 1.7967e+4, -4.7093e+4, 5.0404e+4, -69.1
9.7656e-2, 2.2365e+4, -5.3994e+4, 5.8443e+4, -67.5
8.0708e-2, 2.8315e+4, -5.9479e+4, 6.5875e+4, -64.5
6.6433e-2, 3.3946e+4, -6.9755e+4, 7.7576e+4, -64.1
5.4863e-2, 3.4338e+4, -7.7565e+4, 8.4826e+4, -66.1
4.5422e-2, 4.1941e+4, -8.3036e+4, 9.3027e+4, -63.2
3.7416e-2, 5.7188e+4, -9.1324e+4, 1.0775e+5, -57.9
3.0904e-2, 7.6929e+4, -1.0831e+5, 1.3285e+5, -54.6
2.5498e-2, 9.8482e+4, -1.1338e+5, 1.5018e+5, -49.0
2.1047e-2, 1.2475e+5, -1.0863e+5, 1.6542e+5, -41.1
1.7377e-2, 1.5042e+5, -1.1118e+5, 1.8704e+5, -36.5
1.4340e-2, 1.6645e+5, -1.1844e+5, 2.0429e+5, -35.4
1.1837e-2, 1.8463e+5, -1.1699e+5, 2.1858e+5, -32.4
9.7656e-3, 1.9327e+5, -1.0181e+5, 2.1845e+5, -27.8
8.0708e-3, 2.0161e+5, -8.7648e+4, 2.1984e+5, -23.5
6.6433e-3, 2.1059e+5, -8.0196e+4, 2.2534e+5, -20.8
5.4863e-3, 2.1619e+5, -7.5889e+4, 2.2913e+5, -19.3
4.5422e-3, 2.4197e+5, -8.0662e+4, 2.5506e+5, -18.4
3.7416e-3, 2.7420e+5, -9.0174e+4, 2.8864e+5, -18.2
3.0904e-3, 3.0285e+5, -9.1794e+4, 3.1646e+5, -16.9
