Sept. 2, 2020   14:54:21
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_700_12.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.5861e+1, -1.0664e+1, 1.9112e+1, -33.9
8.1055e+3, 1.6166e+1, -1.1998e+1, 2.0132e+1, -36.6
6.6406e+3, 1.6590e+1, -1.2628e+1, 2.0850e+1, -37.3
5.4687e+3, 1.6939e+1, -1.4535e+1, 2.2320e+1, -40.6
4.5898e+3, 1.7155e+1, -1.6738e+1, 2.3968e+1, -44.3
3.7109e+3, 1.7276e+1, -1.9776e+1, 2.6259e+1, -48.9
3.1250e+3, 1.7592e+1, -2.3346e+1, 2.9232e+1, -53.0
2.5391e+3, 1.8380e+1, -2.7668e+1, 3.3217e+1, -56.4
2.1484e+3, 1.9198e+1, -3.2526e+1, 3.7769e+1, -59.4
1.7578e+3, 1.9093e+1, -3.8620e+1, 4.3082e+1, -63.7
1.4648e+3, 1.8528e+1, -4.6727e+1, 5.0267e+1, -68.4
1.1719e+3, 2.0780e+1, -5.6473e+1, 6.0174e+1, -69.8
9.6680e+2, 2.5396e+1, -6.7414e+1, 7.2039e+1, -69.4
8.1055e+2, 2.8765e+1, -8.0765e+1, 8.5735e+1, -70.4
6.6406e+2, 3.2601e+1, -9.7197e+1, 1.0252e+2, -71.5
5.4688e+2, 3.7988e+1, -1.1722e+2, 1.2322e+2, -72.0
4.5898e+2, 4.4727e+1, -1.3956e+2, 1.4655e+2, -72.2
3.7109e+2, 5.2975e+1, -1.6563e+2, 1.7389e+2, -72.3
3.1250e+2, 6.3051e+1, -1.9635e+2, 2.0622e+2, -72.2
2.5391e+2, 7.4537e+1, -2.2893e+2, 2.4076e+2, -72.0
2.1484e+2, 9.1398e+1, -2.6221e+2, 2.7768e+2, -70.8
1.7578e+2, 1.1135e+2, -3.0682e+2, 3.2640e+2, -70.1
1.4648e+2, 1.5263e+2, -3.5770e+2, 3.8890e+2, -66.9
1.1719e+2, 1.9203e+2, -3.9056e+2, 4.3521e+2, -63.8
9.7656e+1, 2.3038e+2, -4.2559e+2, 4.8395e+2, -61.6
8.1380e+1, 2.9235e+2, -4.7097e+2, 5.5433e+2, -58.2
6.9754e+1, 3.3425e+2, -5.2075e+2, 6.1879e+2, -57.3
5.7445e+1, 3.9924e+2, -5.7867e+2, 7.0303e+2, -55.4
4.6503e+1, 5.0832e+2, -6.3211e+2, 8.1114e+2, -51.2
3.7560e+1, 5.9945e+2, -6.8211e+2, 9.0809e+2, -48.7
3.1502e+1, 6.8369e+2, -7.2657e+2, 9.9766e+2, -46.7
2.5699e+1, 7.7299e+2, -7.5752e+2, 1.0823e+3, -44.4
2.1230e+1, 8.6347e+2, -7.8877e+2, 1.1695e+3, -42.4
1.7439e+1, 9.5789e+2, -8.2810e+2, 1.2662e+3, -40.8
1.4361e+1, 1.0625e+3, -8.3374e+2, 1.3506e+3, -38.1
1.1909e+1, 1.1668e+3, -8.6421e+2, 1.4520e+3, -36.5
9.7656e+0, 1.2389e+3, -9.5672e+2, 1.5653e+3, -37.7
8.0708e+0, 1.2960e+3, -1.0673e+3, 1.6789e+3, -39.5
6.6433e+0, 1.3537e+3, -1.1907e+3, 1.8029e+3, -41.3
5.4863e+0, 1.4300e+3, -1.3220e+3, 1.9475e+3, -42.8
4.5422e+0, 1.5156e+3, -1.4694e+3, 2.1109e+3, -44.1
3.7416e+0, 1.6006e+3, -1.6509e+3, 2.2994e+3, -45.9
3.0904e+0, 1.6851e+3, -1.8783e+3, 2.5234e+3, -48.1
2.5498e+0, 1.7705e+3, -2.1546e+3, 2.7887e+3, -50.6
