Sept. 29, 2020   13:41:40
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_600_14.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.1298e+1, -6.8635e+0, 1.3219e+1, -31.3
8.1055e+3, 1.1810e+1, -7.1056e+0, 1.3782e+1, -31.0
6.6406e+3, 1.2149e+1, -7.8460e+0, 1.4462e+1, -32.9
5.4687e+3, 1.2375e+1, -8.5271e+0, 1.5028e+1, -34.6
4.5898e+3, 1.2587e+1, -9.6950e+0, 1.5888e+1, -37.6
3.7109e+3, 1.2809e+1, -1.1001e+1, 1.6884e+1, -40.7
3.1250e+3, 1.2913e+1, -1.2641e+1, 1.8070e+1, -44.4
2.5391e+3, 1.3055e+1, -1.5009e+1, 1.9893e+1, -49.0
2.1484e+3, 1.3233e+1, -1.7986e+1, 2.2329e+1, -53.7
1.7578e+3, 1.3531e+1, -2.1416e+1, 2.5332e+1, -57.7
1.4648e+3, 1.4422e+1, -2.5472e+1, 2.9271e+1, -60.5
1.1719e+3, 1.5361e+1, -3.0896e+1, 3.4504e+1, -63.6
9.6680e+2, 1.5794e+1, -3.8123e+1, 4.1265e+1, -67.5
8.1055e+2, 1.6183e+1, -4.7126e+1, 4.9827e+1, -71.0
6.6406e+2, 1.6989e+1, -5.7453e+1, 5.9912e+1, -73.5
5.4688e+2, 1.7595e+1, -6.8643e+1, 7.0862e+1, -75.6
4.5898e+2, 1.9040e+1, -8.3984e+1, 8.6115e+1, -77.2
3.7109e+2, 2.2085e+1, -1.0132e+2, 1.0370e+2, -77.7
3.1250e+2, 3.2112e+1, -1.1932e+2, 1.2357e+2, -74.9
2.5391e+2, 3.9713e+1, -1.3600e+2, 1.4168e+2, -73.7
2.1484e+2, 4.3717e+1, -1.5997e+2, 1.6583e+2, -74.7
1.7578e+2, 5.3772e+1, -2.0231e+2, 2.0933e+2, -75.1
1.4648e+2, 7.8005e+1, -2.3977e+2, 2.5214e+2, -72.0
1.1719e+2, 9.3817e+1, -2.8272e+2, 2.9788e+2, -71.6
9.7656e+1, 9.7399e+1, -3.3475e+2, 3.4864e+2, -73.8
8.1380e+1, 1.0005e+2, -3.8737e+2, 4.0008e+2, -75.5
6.9754e+1, 1.0760e+2, -4.7029e+2, 4.8245e+2, -77.1
5.7445e+1, 1.4410e+2, -5.5658e+2, 5.7493e+2, -75.5
4.6503e+1, 2.0619e+2, -6.3358e+2, 6.6628e+2, -72.0
3.7560e+1, 2.9003e+2, -7.1336e+2, 7.7007e+2, -67.9
3.1502e+1, 3.8065e+2, -8.0736e+2, 8.9260e+2, -64.8
2.5699e+1, 4.8058e+2, -9.2395e+2, 1.0415e+3, -62.5
2.1230e+1, 5.7957e+2, -1.0482e+3, 1.1978e+3, -61.1
1.7439e+1, 6.8263e+2, -1.1722e+3, 1.3565e+3, -59.8
1.4361e+1, 8.0746e+2, -1.2833e+3, 1.5162e+3, -57.8
1.1909e+1, 8.5551e+2, -1.3205e+3, 1.5734e+3, -57.1
9.7656e+0, 9.8165e+2, -1.3600e+3, 1.6773e+3, -54.2
8.0708e+0, 1.2538e+3, -1.4941e+3, 1.9505e+3, -50.0
6.6433e+0, 1.4866e+3, -1.6586e+3, 2.2273e+3, -48.1
5.4863e+0, 1.7168e+3, -1.8302e+3, 2.5094e+3, -46.8
4.5422e+0, 1.9206e+3, -1.9899e+3, 2.7656e+3, -46.0
3.7416e+0, 2.0423e+3, -2.1187e+3, 2.9427e+3, -46.1
3.0904e+0, 2.1727e+3, -2.2848e+3, 3.1529e+3, -46.4
2.5498e+0, 2.2957e+3, -2.5948e+3, 3.4645e+3, -48.5
2.1047e+0, 2.4251e+3, -2.9295e+3, 3.8031e+3, -50.4
1.7377e+0, 2.6262e+3, -3.2694e+3, 4.1936e+3, -51.2
1.4340e+0, 2.8844e+3, -3.7237e+3, 4.7102e+3, -52.2
1.1837e+0, 3.2663e+3, -4.2922e+3, 5.3937e+3, -52.7
9.7656e-1, 3.5661e+3, -4.9691e+3, 6.1163e+3, -54.3
8.0708e-1, 3.8380e+3, -5.8541e+3, 7.0001e+3, -56.8
6.6433e-1, 4.0418e+3, -6.7624e+3, 7.8783e+3, -59.1
5.4863e-1, 4.1971e+3, -7.9490e+3, 8.9890e+3, -62.2
4.5422e-1, 4.6762e+3, -9.4322e+3, 1.0528e+4, -63.6
3.7416e-1, 5.4589e+3, -1.0952e+4, 1.2237e+4, -63.5
3.0904e-1, 6.4475e+3, -1.2719e+4, 1.4260e+4, -63.1
