Aug. 25, 2020   15:50:20
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_750_18.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 4.2614e-7
-0.480, 5.1380e-7
-0.470, 5.7805e-7
-0.460, 6.5067e-7
-0.450, 7.4120e-7
-0.440, 8.4152e-7
-0.430, 9.5785e-7
-0.420, 1.0816e-6
-0.410, 1.2316e-6
-0.400, 1.3866e-6
-0.390, 1.5596e-6
-0.380, 1.7545e-6
-0.370, 1.9513e-6
-0.360, 2.1715e-6
-0.350, 2.4195e-6
-0.340, 2.6880e-6
-0.330, 2.9421e-6
-0.320, 3.2517e-6
-0.310, 3.6374e-6
-0.300, 4.0920e-6
-0.290, 4.5325e-6
-0.280, 5.1048e-6
-0.270, 5.7230e-6
-0.260, 6.4986e-6
-0.250, 7.3649e-6
-0.240, 8.2979e-6
-0.230, 9.3516e-6
-0.220, 1.0542e-5
-0.210, 1.1909e-5
-0.200, 1.3381e-5
-0.190, 1.4847e-5
-0.180, 1.6604e-5
-0.170, 1.8306e-5
-0.160, 2.0218e-5
-0.150, 2.2428e-5
-0.140, 2.4490e-5
-0.130, 2.6810e-5
-0.120, 2.9389e-5
-0.110, 3.1935e-5
-0.100, 3.4674e-5
-0.090, 3.7199e-5
-0.080, 4.0213e-5
-0.070, 4.3313e-5
-0.060, 4.6345e-5
-0.050, 4.9467e-5
-0.040, 5.2963e-5
-0.030, 5.5545e-5
-0.020, 5.9121e-5
-0.010, 6.2720e-5
-0.000, 6.6137e-5
0.010, 6.9664e-5
0.020, 7.2963e-5
0.030, 7.6286e-5
0.040, 7.9893e-5
0.050, 8.3266e-5
0.060, 8.6437e-5
0.070, 8.9573e-5
0.080, 9.2710e-5
0.090, 9.5955e-5
0.100, 9.8649e-5
0.110, 1.0123e-4
0.120, 1.0364e-4
0.130, 1.0639e-4
0.140, 1.0843e-4
0.150, 1.1089e-4
0.160, 1.1315e-4
0.170, 1.1466e-4
0.180, 1.1657e-4
0.190, 1.1832e-4
0.200, 1.2012e-4
0.210, 1.2172e-4
0.220, 1.2336e-4
0.230, 1.2469e-4
0.240, 1.2563e-4
0.250, 1.2708e-4
0.260, 1.2830e-4
0.270, 1.2954e-4
0.280, 1.2997e-4
0.290, 1.3126e-4
0.300, 1.3288e-4
0.310, 1.3399e-4
0.320, 1.3488e-4
0.330, 1.3664e-4
0.340, 1.3736e-4
0.350, 1.3713e-4
0.360, 1.3881e-4
0.370, 1.3961e-4
0.380, 1.4017e-4
0.390, 1.4213e-4
0.400, 1.4235e-4
0.410, 1.4383e-4
0.420, 1.4479e-4
0.430, 1.4562e-4
0.440, 1.4657e-4
0.450, 1.4766e-4
0.460, 1.4871e-4
0.470, 1.5110e-4
0.480, 1.5149e-4
0.490, 1.5343e-4
0.500, 1.5421e-4
0.510, 1.5460e-4
0.520, 1.5569e-4
0.530, 1.5678e-4
0.540, 1.5818e-4
0.550, 1.5988e-4
0.560, 1.6043e-4
0.570, 1.6133e-4
0.580, 1.6278e-4
0.590, 1.6418e-4
0.600, 1.6580e-4
