Aug. 25, 2020   15:24:37
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_650_18.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Ep = 0.160V
ip = 7.233e-8A
Ah = 8.108e-7C

Potential/V, Current/A

Segment 1:
-0.490, 7.1325e-7
-0.480, 8.2456e-7
-0.470, 9.2011e-7
-0.460, 1.0092e-6
-0.450, 1.1074e-6
-0.440, 1.2127e-6
-0.430, 1.3212e-6
-0.420, 1.4556e-6
-0.410, 1.5424e-6
-0.400, 1.6859e-6
-0.390, 1.7956e-6
-0.380, 1.9004e-6
-0.370, 2.0074e-6
-0.360, 2.1281e-6
-0.350, 2.2649e-6
-0.340, 2.3538e-6
-0.330, 2.4821e-6
-0.320, 2.5723e-6
-0.310, 2.6899e-6
-0.300, 2.8024e-6
-0.290, 2.8590e-6
-0.280, 2.9672e-6
-0.270, 3.0587e-6
-0.260, 3.1334e-6
-0.250, 3.2426e-6
-0.240, 3.3324e-6
-0.230, 3.4607e-6
-0.220, 3.4972e-6
-0.210, 3.6336e-6
-0.200, 3.6902e-6
-0.190, 3.8137e-6
-0.180, 3.9279e-6
-0.170, 3.9862e-6
-0.160, 4.0177e-6
-0.150, 4.0614e-6
-0.140, 4.1243e-6
-0.130, 4.2363e-6
-0.120, 4.2198e-6
-0.110, 4.2790e-6
-0.100, 4.2903e-6
-0.090, 4.3583e-6
-0.080, 4.3352e-6
-0.070, 4.4169e-6
-0.060, 4.4677e-6
-0.050, 4.4603e-6
-0.040, 4.5181e-6
-0.030, 4.4775e-6
-0.020, 4.5404e-6
-0.010, 4.5898e-6
-0.000, 4.5845e-6
0.010, 4.5702e-6
0.020, 4.6029e-6
0.030, 4.6357e-6
0.040, 4.6481e-6
0.050, 4.6770e-6
0.060, 4.6526e-6
0.070, 4.6916e-6
0.080, 4.7463e-6
0.090, 4.8205e-6
0.100, 4.7697e-6
0.110, 4.8112e-6
0.120, 4.7596e-6
0.130, 4.7926e-6
0.140, 4.7670e-6
0.150, 4.8010e-6
0.160, 4.8258e-6
0.170, 4.8571e-6
0.180, 4.8970e-6
0.190, 4.8984e-6
0.200, 4.9417e-6
0.210, 4.9369e-6
0.220, 4.9565e-6
0.230, 5.0704e-6
0.240, 5.0410e-6
0.250, 5.0253e-6
0.260, 5.0393e-6
0.270, 5.0723e-6
0.280, 5.0804e-6
0.290, 5.2452e-6
0.300, 5.1948e-6
0.310, 5.2125e-6
0.320, 5.1808e-6
0.330, 5.2431e-6
0.340, 5.2601e-6
0.350, 5.3167e-6
0.360, 5.3503e-6
0.370, 5.3625e-6
0.380, 5.4191e-6
0.390, 5.4426e-6
0.400, 5.4605e-6
0.410, 5.4872e-6
0.420, 5.6181e-6
0.430, 5.7046e-6
0.440, 5.7385e-6
0.450, 5.7877e-6
0.460, 5.8775e-6
0.470, 5.9752e-6
0.480, 6.0512e-6
0.490, 6.1871e-6
0.500, 6.3502e-6
0.510, 6.5514e-6
0.520, 6.8593e-6
0.530, 7.1390e-6
0.540, 7.5868e-6
0.550, 8.0808e-6
0.560, 8.8748e-6
0.570, 9.8308e-6
0.580, 1.1137e-5
0.590, 1.2945e-5
0.600, 1.5352e-5
