Aug. 25, 2020   13:30:30
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_700_14.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 6.7886e-7
-0.480, 7.9041e-7
-0.470, 8.8404e-7
-0.460, 9.8126e-7
-0.450, 1.0876e-6
-0.440, 1.2044e-6
-0.430, 1.3355e-6
-0.420, 1.4683e-6
-0.410, 1.6169e-6
-0.400, 1.7674e-6
-0.390, 1.9312e-6
-0.380, 2.0906e-6
-0.370, 2.2704e-6
-0.360, 2.4453e-6
-0.350, 2.6399e-6
-0.340, 2.8396e-6
-0.330, 3.0467e-6
-0.320, 3.2713e-6
-0.310, 3.5070e-6
-0.300, 3.7734e-6
-0.290, 4.0731e-6
-0.280, 4.4231e-6
-0.270, 4.7995e-6
-0.260, 5.2498e-6
-0.250, 5.7313e-6
-0.240, 6.2473e-6
-0.230, 6.8445e-6
-0.220, 7.4815e-6
-0.210, 8.2014e-6
-0.200, 8.9689e-6
-0.190, 9.8188e-6
-0.180, 1.0711e-5
-0.170, 1.1681e-5
-0.160, 1.2715e-5
-0.150, 1.3832e-5
-0.140, 1.4985e-5
-0.130, 1.6249e-5
-0.120, 1.7548e-5
-0.110, 1.8939e-5
-0.100, 2.0387e-5
-0.090, 2.1876e-5
-0.080, 2.3428e-5
-0.070, 2.5044e-5
-0.060, 2.6710e-5
-0.050, 2.8385e-5
-0.040, 3.0147e-5
-0.030, 3.1914e-5
-0.020, 3.3692e-5
-0.010, 3.5550e-5
-0.000, 3.7326e-5
0.010, 3.9167e-5
0.020, 4.0970e-5
0.030, 4.2764e-5
0.040, 4.4532e-5
0.050, 4.6274e-5
0.060, 4.7899e-5
0.070, 4.9548e-5
0.080, 5.1026e-5
0.090, 5.2524e-5
0.100, 5.3947e-5
0.110, 5.5306e-5
0.120, 5.6611e-5
0.130, 5.7775e-5
0.140, 5.8921e-5
0.150, 5.9963e-5
0.160, 6.1014e-5
0.170, 6.1967e-5
0.180, 6.2866e-5
0.190, 6.3669e-5
0.200, 6.4496e-5
0.210, 6.5295e-5
0.220, 6.6078e-5
0.230, 6.6665e-5
0.240, 6.7309e-5
0.250, 6.7950e-5
0.260, 6.8580e-5
0.270, 6.9196e-5
0.280, 6.9793e-5
0.290, 7.0305e-5
0.300, 7.0936e-5
0.310, 7.1508e-5
0.320, 7.2084e-5
0.330, 7.2562e-5
0.340, 7.3078e-5
0.350, 7.3659e-5
0.360, 7.4222e-5
0.370, 7.4816e-5
0.380, 7.5312e-5
0.390, 7.5871e-5
0.400, 7.6449e-5
0.410, 7.6681e-5
0.420, 7.7597e-5
0.430, 7.8228e-5
0.440, 7.8853e-5
0.450, 7.9524e-5
0.460, 8.0166e-5
0.470, 8.0877e-5
0.480, 8.1557e-5
0.490, 8.2295e-5
0.500, 8.3074e-5
0.510, 8.3886e-5
0.520, 8.4889e-5
0.530, 8.5763e-5
0.540, 8.6771e-5
0.550, 8.7878e-5
0.560, 8.9076e-5
0.570, 9.0426e-5
0.580, 9.1997e-5
0.590, 9.3764e-5
0.600, 9.5758e-5
